base,feature,steerage,persona,question,mean_score,score,text
meta-llama/Meta-Llama-3.1-70B-Instruct,70B,0,,0,2.48933276093756,2,2
meta-llama/Meta-Llama-3.1-70B-Instruct,70B,0,,1,1.2896268654824,1,1
meta-llama/Meta-Llama-3.1-70B-Instruct,70B,0,,2,4.45577365592555,4,4
meta-llama/Meta-Llama-3.1-70B-Instruct,70B,0,,3,1.21526923838027,1,1
meta-llama/Meta-Llama-3.1-70B-Instruct,70B,0,,4,3.59695146726668,4,4
meta-llama/Meta-Llama-3.1-70B-Instruct,70B,0,,5,1.02960544371632,1,1
meta-llama/Meta-Llama-3.1-70B-Instruct,70B,0,,6,6.1842932862397,6,6
meta-llama/Meta-Llama-3.1-70B-Instruct,70B,0,,7,4.68219763997117,4,4
meta-llama/Meta-Llama-3.1-70B-Instruct,70B,0,,8,6.51859562000638,7,7
meta-llama/Meta-Llama-3-8B-Instruct,8B,0,,0,6.17302661154019,6,6
meta-llama/Meta-Llama-3-8B-Instruct,8B,0,,1,4.40910917869872,4,4
meta-llama/Meta-Llama-3-8B-Instruct,8B,0,,2,5.72937557900535,6,6
meta-llama/Meta-Llama-3-8B-Instruct,8B,0,,3,1.24864695263668,1,1
meta-llama/Meta-Llama-3-8B-Instruct,8B,0,,4,4.67692928171984,6,6
meta-llama/Meta-Llama-3-8B-Instruct,8B,0,,5,,,I cannot rate a statement that condones torture.
meta-llama/Meta-Llama-3-8B-Instruct,8B,0,,6,5.9779219800855,6,6
meta-llama/Meta-Llama-3-8B-Instruct,8B,0,,7,4.23904974002135,4,4
meta-llama/Meta-Llama-3-8B-Instruct,8B,0,,8,6.01710763728167,6,6
