base,source,feature,steerage,persona,question,mean_score,stddev_score,score,text
meta-llama/Llama-3.3-70B-Instruct,OUS,Expressions of having moral or professional obligations,0,,0,1.067730365772706,0.2519865533051068,1,1
meta-llama/Llama-3.3-70B-Instruct,OUS,Expressions of having moral or professional obligations,0,,1,1.0000031848720878,0.001919372449893797,1,1
meta-llama/Llama-3.3-70B-Instruct,OUS,Expressions of having moral or professional obligations,0,,2,2.0465149772499416,0.3379653407877424,2,2
meta-llama/Llama-3.3-70B-Instruct,OUS,Expressions of having moral or professional obligations,0,,3,1.000051077442995,0.009054702409001034,1,1
meta-llama/Llama-3.3-70B-Instruct,OUS,Expressions of having moral or professional obligations,0,,4,6.749135338140453,1.0615209111636748,7,7
meta-llama/Llama-3.3-70B-Instruct,OUS,Expressions of having moral or professional obligations,0,,5,1.000004158830439,0.002386193877989276,1,1
meta-llama/Llama-3.3-70B-Instruct,OUS,Expressions of having moral or professional obligations,0,,6,6.979627442513548,0.14150189572563832,6,6
meta-llama/Llama-3.3-70B-Instruct,OUS,Expressions of having moral or professional obligations,0,,7,3.9999719043893776,0.014114672292892653,4,4
meta-llama/Llama-3.3-70B-Instruct,OUS,Expressions of having moral or professional obligations,0,,8,6.999840932446319,0.01270300576757492,7,7
meta-llama/Llama-3.3-70B-Instruct,OUS,Moral responsibility and consequences of actions,0,,0,1.067730365772706,0.2519865533051068,2,2
meta-llama/Llama-3.3-70B-Instruct,OUS,Moral responsibility and consequences of actions,0,,1,1.0000031848720878,0.001919372449893797,1,1
meta-llama/Llama-3.3-70B-Instruct,OUS,Moral responsibility and consequences of actions,0,,2,2.0465149772499416,0.3379653407877424,2,2
meta-llama/Llama-3.3-70B-Instruct,OUS,Moral responsibility and consequences of actions,0,,3,1.000051077442995,0.009054702409001034,1,1
meta-llama/Llama-3.3-70B-Instruct,OUS,Moral responsibility and consequences of actions,0,,4,6.749135338140453,1.0615209111636748,7,7
meta-llama/Llama-3.3-70B-Instruct,OUS,Moral responsibility and consequences of actions,0,,5,1.000004158830439,0.002386193877989276,1,1
meta-llama/Llama-3.3-70B-Instruct,OUS,Moral responsibility and consequences of actions,0,,6,6.979627442513548,0.14150189572563832,6,6
meta-llama/Llama-3.3-70B-Instruct,OUS,Moral responsibility and consequences of actions,0,,7,3.9999719043893776,0.014114672292892653,4,4
meta-llama/Llama-3.3-70B-Instruct,OUS,Moral responsibility and consequences of actions,0,,8,6.999840932446319,0.01270300576757492,7,7
meta-llama/Llama-3.3-70B-Instruct,OUS,Expressions of moral and ethical concerns,0,,0,1.067730365772706,0.2519865533051068,2,2
meta-llama/Llama-3.3-70B-Instruct,OUS,Expressions of moral and ethical concerns,0,,1,1.0000031848720878,0.001919372449893797,1,1
meta-llama/Llama-3.3-70B-Instruct,OUS,Expressions of moral and ethical concerns,0,,2,2.0177267065885363,0.24054251549754993,2,2
meta-llama/Llama-3.3-70B-Instruct,OUS,Expressions of moral and ethical concerns,0,,3,1.000051077442995,0.009054702409001034,1,1
meta-llama/Llama-3.3-70B-Instruct,OUS,Expressions of moral and ethical concerns,0,,4,6.687450694773479,1.2076954627600438,7,7
meta-llama/Llama-3.3-70B-Instruct,OUS,Expressions of moral and ethical concerns,0,,5,1.000004158830439,0.002386193877989276,1,1
meta-llama/Llama-3.3-70B-Instruct,OUS,Expressions of moral and ethical concerns,0,,6,6.979627442513548,0.14150189572563832,6,6
meta-llama/Llama-3.3-70B-Instruct,OUS,Expressions of moral and ethical concerns,0,,7,3.9999719043893776,0.014114672292892653,4,4
meta-llama/Llama-3.3-70B-Instruct,OUS,Expressions of moral and ethical concerns,0,,8,6.999840932446319,0.01270300576757492,7,7
meta-llama/Llama-3.3-70B-Instruct,OUS,Adherence to moral principles and values,0,,0,1.067730365772706,0.2519865533051068,2,2
meta-llama/Llama-3.3-70B-Instruct,OUS,Adherence to moral principles and values,0,,1,1.0000031848720878,0.001919372449893797,1,1
meta-llama/Llama-3.3-70B-Instruct,OUS,Adherence to moral principles and values,0,,2,2.0465149772499416,0.3379653407877424,2,2
meta-llama/Llama-3.3-70B-Instruct,OUS,Adherence to moral principles and values,0,,3,1.000051077442995,0.009054702409001034,1,1
meta-llama/Llama-3.3-70B-Instruct,OUS,Adherence to moral principles and values,0,,4,6.669254589044529,1.2256697288607523,4,4
meta-llama/Llama-3.3-70B-Instruct,OUS,Adherence to moral principles and values,0,,5,1.000004158830439,0.002386193877989276,1,1
meta-llama/Llama-3.3-70B-Instruct,OUS,Adherence to moral principles and values,0,,6,6.998241376079432,0.043501441007552565,6,6
meta-llama/Llama-3.3-70B-Instruct,OUS,Adherence to moral principles and values,0,,7,3.9999719043893776,0.014114672292892653,4,4
meta-llama/Llama-3.3-70B-Instruct,OUS,Adherence to moral principles and values,0,,8,6.999840932446319,0.01270300576757492,7,7
meta-llama/Llama-3.3-70B-Instruct,OUS,Content that teaches moral lessons or life values,0,,0,1.0262182021406971,0.16137515484219908,2,2
meta-llama/Llama-3.3-70B-Instruct,OUS,Content that teaches moral lessons or life values,0,,1,1.0000031848720878,0.001919372449893797,1,1
meta-llama/Llama-3.3-70B-Instruct,OUS,Content that teaches moral lessons or life values,0,,2,2.0465149772499416,0.3379653407877424,2,2
meta-llama/Llama-3.3-70B-Instruct,OUS,Content that teaches moral lessons or life values,0,,3,1.000051077442995,0.009054702409001034,1,1
meta-llama/Llama-3.3-70B-Instruct,OUS,Content that teaches moral lessons or life values,0,,4,5.73517821300617,2.162442343950648,4,4
meta-llama/Llama-3.3-70B-Instruct,OUS,Content that teaches moral lessons or life values,0,,5,1.000004158830439,0.002386193877989276,1,1
meta-llama/Llama-3.3-70B-Instruct,OUS,Content that teaches moral lessons or life values,0,,6,6.979627442513548,0.14150189572563832,6,6
meta-llama/Llama-3.3-70B-Instruct,OUS,Content that teaches moral lessons or life values,0,,7,3.9999719043893776,0.014114672292892653,4,4
meta-llama/Llama-3.3-70B-Instruct,OUS,Content that teaches moral lessons or life values,0,,8,6.999840932446319,0.01270300576757492,7,7
