base,source,feature,steerage,persona,question,mean_score,stddev_score,score,text
meta-llama/Llama-3.3-70B-Instruct,GGB_inverted,,0,,0,6.999999813395471,0.000936354791358626,7,7
meta-llama/Llama-3.3-70B-Instruct,GGB_inverted,,0,,1,6.999999920669051,0.0005567188006874487,7,7
meta-llama/Llama-3.3-70B-Instruct,GGB_inverted,,0,,2,6.9999999055957,0.000683127060185734,7,7
meta-llama/Llama-3.3-70B-Instruct,GGB_inverted,,0,,3,6.999998837958543,0.002598239562211337,7,7
meta-llama/Llama-3.3-70B-Instruct,GGB_inverted,,0,,4,6.999962974503626,0.014880340041357663,7,7
meta-llama/Llama-3.3-70B-Instruct,GGB_inverted,,0,,5,6.999996066132129,0.004647111992197537,7,7
meta-llama/Llama-3.3-70B-Instruct,GGB_inverted,,0,,6,1.0313337502789564,0.4324429699484729,1,1
meta-llama/Llama-3.3-70B-Instruct,GGB_inverted,,0,,7,6.892078440526924,0.7974105757963553,7,7
meta-llama/Llama-3.3-70B-Instruct,GGB_inverted,,0,,8,6.9999705720806995,0.013163265913556734,7,7
meta-llama/Llama-3.3-70B-Instruct,GGB_inverted,,0,,9,6.999999172998124,0.002069762494172312,7,7
meta-llama/Llama-3.3-70B-Instruct,GGB_inverted,,0,,10,6.999999965837143,0.0003772293775260664,7,7
meta-llama/Llama-3.3-70B-Instruct,GGB_inverted,,0,,11,6.999999594727012,0.0014269762192491585,7,7
meta-llama/Llama-3.3-70B-Instruct,GGB_inverted,,0,,12,6.999999921193147,0.0005610496588829855,7,7
meta-llama/Llama-3.3-70B-Instruct,GGB_inverted,,0,,13,6.999999881071614,0.0007050351916074987,7,7
meta-llama/Llama-3.3-70B-Instruct,GGB_inverted,,0,,14,6.999939043043187,0.01910274156090369,7,7
meta-llama/Llama-3.3-70B-Instruct,GGB_inverted,,0,,15,1.000000020004583,0.00032156261577751303,1,1
meta-llama/Llama-3.3-70B-Instruct,GGB_inverted,,0,,16,6.999999608194796,0.0014885898882282282,7,7
meta-llama/Llama-3.3-70B-Instruct,GGB_inverted,,0,,17,6.999999938213965,0.0005138830885981075,7,7
meta-llama/Llama-3.3-70B-Instruct,GGB_inverted,,0,,18,2.09457341632682,2.3171793083587,1,1
meta-llama/Llama-3.3-70B-Instruct,GGB_inverted,,0,,19,6.999999618486287,0.0014171310737458023,7,7
meta-llama/Llama-3.3-70B-Instruct,GGB_inverted,,0,,20,6.999911483003969,0.02303750654851711,7,7
meta-llama/Llama-3.3-70B-Instruct,GGB_inverted,,0,,21,6.999727561818833,0.04042681865835216,7,7
meta-llama/Llama-3.3-70B-Instruct,GGB_inverted,,0,,22,6.995173655543073,0.17007798203416977,1,1
meta-llama/Llama-3.3-70B-Instruct,GGB_inverted,,0,,23,6.9999994006090285,0.0018184416543335982,7,7
meta-llama/Llama-3.3-70B-Instruct,GGB_inverted,,0,,24,5.6637993910390705,2.496349260333929,1,1
meta-llama/Llama-3.3-70B-Instruct,GGB_inverted,,0,,25,6.999999938610717,0.0005137069235287789,7,7
meta-llama/Llama-3.3-70B-Instruct,GGB_inverted,,0,,26,6.999998514814813,0.002804394534117726,7,7
meta-llama/Llama-3.3-70B-Instruct,GGB_inverted,,0,,27,6.9938062271609915,0.19267199371834276,7,7
meta-llama/Llama-3.3-70B-Instruct,GGB_inverted,,0,,28,1.137876655232513,0.8990197937761897,1,1
meta-llama/Llama-3.3-70B-Instruct,GGB_inverted,,0,,29,6.801348934067723,1.0731715345654373,7,7
meta-llama/Llama-3.3-70B-Instruct,GGB_inverted,,0,,30,1.000001640891208,0.003131592531812434,1,1
meta-llama/Llama-3.3-70B-Instruct,GGB_inverted,,0,,31,6.999999836798875,0.0009186852077314753,7,7
meta-llama/Llama-3.3-70B-Instruct,GGB_inverted,,0,,32,5.905446794442836,2.317168455373543,1,1
meta-llama/Llama-3.3-70B-Instruct,GGB_inverted,,0,,33,1.001080203661952,0.08047737313144487,1,1
meta-llama/Llama-3.3-70B-Instruct,GGB_inverted,,0,,34,6.999999884011298,0.0007040459793983747,7,7
meta-llama/Llama-3.3-70B-Instruct,GGB_inverted,,0,,35,6.9999989447471425,0.0023579569363397024,7,7
meta-llama/Llama-3.3-70B-Instruct,GGB_inverted,,0,,36,6.87800330286388,0.8468088101012273,7,7
meta-llama/Llama-3.3-70B-Instruct,GGB_inverted,,0,,37,1.0000000563747276,0.0005499218933579296,1,1
meta-llama/Llama-3.3-70B-Instruct,GGB_inverted,,0,,38,6.999997028170252,0.003901151411813691,7,7
meta-llama/Llama-3.3-70B-Instruct,GGB_inverted,,0,,39,1.0000014642562998,0.002955496487262324,1,1
