base,feature,steerage,persona,question,mean_score,score,text
meta-llama/Meta-Llama-3.1-70B-Instruct,The assistant emphasizing respect and dignity when discussing ethics or boundaries,-0.5,,0,2.685798618199294,2,2
meta-llama/Meta-Llama-3.1-70B-Instruct,The assistant emphasizing respect and dignity when discussing ethics or boundaries,-0.5,,1,3.159074807773083,2,2
meta-llama/Meta-Llama-3.1-70B-Instruct,The assistant emphasizing respect and dignity when discussing ethics or boundaries,-0.5,,2,5.377733927969309,6,6
meta-llama/Meta-Llama-3.1-70B-Instruct,The assistant emphasizing respect and dignity when discussing ethics or boundaries,-0.5,,3,1.3487718616914035,1,1
meta-llama/Meta-Llama-3.1-70B-Instruct,The assistant emphasizing respect and dignity when discussing ethics or boundaries,-0.5,,4,4.0883188926301,6,6
meta-llama/Meta-Llama-3.1-70B-Instruct,The assistant emphasizing respect and dignity when discussing ethics or boundaries,-0.5,,5,1.9204097221002612,1,1
meta-llama/Meta-Llama-3.1-70B-Instruct,The assistant emphasizing respect and dignity when discussing ethics or boundaries,-0.5,,6,6.079978211931312,6,6
meta-llama/Meta-Llama-3.1-70B-Instruct,The assistant emphasizing respect and dignity when discussing ethics or boundaries,-0.5,,7,5.025817982766864,5,5
meta-llama/Meta-Llama-3.1-70B-Instruct,The assistant emphasizing respect and dignity when discussing ethics or boundaries,-0.5,,8,6.2265944886886455,6,6
meta-llama/Meta-Llama-3.1-70B-Instruct,The assistant emphasizing respect and dignity when discussing ethics or boundaries,-0.3,,0,2.2731959387997054,2,2
meta-llama/Meta-Llama-3.1-70B-Instruct,The assistant emphasizing respect and dignity when discussing ethics or boundaries,-0.3,,1,2.2405352468215045,2,2
meta-llama/Meta-Llama-3.1-70B-Instruct,The assistant emphasizing respect and dignity when discussing ethics or boundaries,-0.3,,2,4.045324877172102,4,4
meta-llama/Meta-Llama-3.1-70B-Instruct,The assistant emphasizing respect and dignity when discussing ethics or boundaries,-0.3,,3,1.1807755037491678,1,1
meta-llama/Meta-Llama-3.1-70B-Instruct,The assistant emphasizing respect and dignity when discussing ethics or boundaries,-0.3,,4,3.2614894898900615,4,4
meta-llama/Meta-Llama-3.1-70B-Instruct,The assistant emphasizing respect and dignity when discussing ethics or boundaries,-0.3,,5,1.2111353601763244,1,1
meta-llama/Meta-Llama-3.1-70B-Instruct,The assistant emphasizing respect and dignity when discussing ethics or boundaries,-0.3,,6,6.029575874228991,6,6
meta-llama/Meta-Llama-3.1-70B-Instruct,The assistant emphasizing respect and dignity when discussing ethics or boundaries,-0.3,,7,4.9275524399991175,4,4
meta-llama/Meta-Llama-3.1-70B-Instruct,The assistant emphasizing respect and dignity when discussing ethics or boundaries,-0.3,,8,6.309578612188298,6,6
meta-llama/Meta-Llama-3.1-70B-Instruct,The assistant emphasizing respect and dignity when discussing ethics or boundaries,-0.2,,0,2.262264259833758,2,2
meta-llama/Meta-Llama-3.1-70B-Instruct,The assistant emphasizing respect and dignity when discussing ethics or boundaries,-0.2,,1,1.920561459728398,1,1
meta-llama/Meta-Llama-3.1-70B-Instruct,The assistant emphasizing respect and dignity when discussing ethics or boundaries,-0.2,,2,3.9049775962139863,4,4
meta-llama/Meta-Llama-3.1-70B-Instruct,The assistant emphasizing respect and dignity when discussing ethics or boundaries,-0.2,,3,1.173309236675418,1,1
meta-llama/Meta-Llama-3.1-70B-Instruct,The assistant emphasizing respect and dignity when discussing ethics or boundaries,-0.2,,4,3.2893758991791398,2,2
meta-llama/Meta-Llama-3.1-70B-Instruct,The assistant emphasizing respect and dignity when discussing ethics or boundaries,-0.2,,5,1.087345836237651,1,1
meta-llama/Meta-Llama-3.1-70B-Instruct,The assistant emphasizing respect and dignity when discussing ethics or boundaries,-0.2,,6,6.029579710033179,6,6
meta-llama/Meta-Llama-3.1-70B-Instruct,The assistant emphasizing respect and dignity when discussing ethics or boundaries,-0.2,,7,4.915113332059731,4,4
meta-llama/Meta-Llama-3.1-70B-Instruct,The assistant emphasizing respect and dignity when discussing ethics or boundaries,-0.2,,8,6.34930476419471,6,6
meta-llama/Meta-Llama-3.1-70B-Instruct,The assistant emphasizing respect and dignity when discussing ethics or boundaries,-0.1,,0,2.37551014752322,2,2
meta-llama/Meta-Llama-3.1-70B-Instruct,The assistant emphasizing respect and dignity when discussing ethics or boundaries,-0.1,,1,1.5371277262576084,1,1
meta-llama/Meta-Llama-3.1-70B-Instruct,The assistant emphasizing respect and dignity when discussing ethics or boundaries,-0.1,,2,4.104036825330948,4,4
meta-llama/Meta-Llama-3.1-70B-Instruct,The assistant emphasizing respect and dignity when discussing ethics or boundaries,-0.1,,3,1.1815186170817775,1,1
meta-llama/Meta-Llama-3.1-70B-Instruct,The assistant emphasizing respect and dignity when discussing ethics or boundaries,-0.1,,4,3.4190202731517387,4,4
meta-llama/Meta-Llama-3.1-70B-Instruct,The assistant emphasizing respect and dignity when discussing ethics or boundaries,-0.1,,5,1.0447203203806719,1,1
meta-llama/Meta-Llama-3.1-70B-Instruct,The assistant emphasizing respect and dignity when discussing ethics or boundaries,-0.1,,6,6.069991119131017,6,6
meta-llama/Meta-Llama-3.1-70B-Instruct,The assistant emphasizing respect and dignity when discussing ethics or boundaries,-0.1,,7,4.795836847191744,4,4
meta-llama/Meta-Llama-3.1-70B-Instruct,The assistant emphasizing respect and dignity when discussing ethics or boundaries,-0.1,,8,6.407125386709485,7,7
meta-llama/Meta-Llama-3.1-70B-Instruct,The assistant emphasizing respect and dignity when discussing ethics or boundaries,0.0,,0,2.4893327609375597,2,2
meta-llama/Meta-Llama-3.1-70B-Instruct,The assistant emphasizing respect and dignity when discussing ethics or boundaries,0.0,,1,1.2896268654824001,1,1
