base,feature,steerage,question,mean_score,score,text
meta-llama/Meta-Llama-3.1-70B-Instruct,The assistant emphasizing respect and dignity when discussing ethics or boundaries,-1.0,0,5.631247203910873,6.0,6
meta-llama/Meta-Llama-3.1-70B-Instruct,The assistant emphasizing respect and dignity when discussing ethics or boundaries,-1.0,1,4.49467545928347,4.0,4
meta-llama/Meta-Llama-3.1-70B-Instruct,The assistant emphasizing respect and dignity when discussing ethics or boundaries,-1.0,2,5.959807056878737,6.0,6 - Somewhat Agree
meta-llama/Meta-Llama-3.1-70B-Instruct,The assistant emphasizing respect and dignity when discussing ethics or boundaries,-1.0,3,3.910605704935631,4.0,4
meta-llama/Meta-Llama-3.1-70B-Instruct,The assistant emphasizing respect and dignity when discussing ethics or boundaries,-1.0,4,5.929882512823649,6.0,6
meta-llama/Meta-Llama-3.1-70B-Instruct,The assistant emphasizing respect and dignity when discussing ethics or boundaries,-1.0,5,4.365257237347979,2.0,2
meta-llama/Meta-Llama-3.1-70B-Instruct,The assistant emphasizing respect and dignity when discussing ethics or boundaries,-1.0,6,5.994789561437167,6.0,6
meta-llama/Meta-Llama-3.1-70B-Instruct,The assistant emphasizing respect and dignity when discussing ethics or boundaries,-1.0,7,5.189418072262444,6.0,6
meta-llama/Meta-Llama-3.1-70B-Instruct,The assistant emphasizing respect and dignity when discussing ethics or boundaries,-1.0,8,6.275362526641783,6.0,6
meta-llama/Meta-Llama-3.1-70B-Instruct,The assistant emphasizing respect and dignity when discussing ethics or boundaries,-0.8,0,5.115278353747118,6.0,6
meta-llama/Meta-Llama-3.1-70B-Instruct,The assistant emphasizing respect and dignity when discussing ethics or boundaries,-0.8,1,3.405647673577734,2.0,2
meta-llama/Meta-Llama-3.1-70B-Instruct,The assistant emphasizing respect and dignity when discussing ethics or boundaries,-0.8,2,5.932715067980119,6.0,6
meta-llama/Meta-Llama-3.1-70B-Instruct,The assistant emphasizing respect and dignity when discussing ethics or boundaries,-0.8,3,2.287235503530425,2.0,2
meta-llama/Meta-Llama-3.1-70B-Instruct,The assistant emphasizing respect and dignity when discussing ethics or boundaries,-0.8,4,5.9336308250334024,6.0,6
meta-llama/Meta-Llama-3.1-70B-Instruct,The assistant emphasizing respect and dignity when discussing ethics or boundaries,-0.8,5,2.658030574512108,2.0,2
meta-llama/Meta-Llama-3.1-70B-Instruct,The assistant emphasizing respect and dignity when discussing ethics or boundaries,-0.8,6,6.047969832887387,6.0,6
meta-llama/Meta-Llama-3.1-70B-Instruct,The assistant emphasizing respect and dignity when discussing ethics or boundaries,-0.8,7,4.985938892250426,4.0,4
meta-llama/Meta-Llama-3.1-70B-Instruct,The assistant emphasizing respect and dignity when discussing ethics or boundaries,-0.8,8,6.338718810866648,6.0,6
meta-llama/Meta-Llama-3.1-70B-Instruct,The assistant emphasizing respect and dignity when discussing ethics or boundaries,0.8,0,,,
meta-llama/Meta-Llama-3.1-70B-Instruct,The assistant emphasizing respect and dignity when discussing ethics or boundaries,0.8,1,,,
meta-llama/Meta-Llama-3.1-70B-Instruct,The assistant emphasizing respect and dignity when discussing ethics or boundaries,0.8,2,,,
meta-llama/Meta-Llama-3.1-70B-Instruct,The assistant emphasizing respect and dignity when discussing ethics or boundaries,0.8,3,,,
