base,source,feature,steerage,persona,question,mean_score,stddev_score,score,text
meta-llama/Llama-3.3-70B-Instruct,GGB_inverted,,0,,0,6.999999307789232,0.0018437970377195214,7,7
meta-llama/Llama-3.3-70B-Instruct,GGB_inverted,,0,,1,6.999999920669051,0.0005567188006874487,7,7
meta-llama/Llama-3.3-70B-Instruct,GGB_inverted,,0,,2,6.999999902396717,0.000687226703114821,7,7
meta-llama/Llama-3.3-70B-Instruct,GGB_inverted,,0,,3,6.999998837958543,0.002598239562211337,7,7
meta-llama/Llama-3.3-70B-Instruct,GGB_inverted,,0,,4,6.99998439835751,0.00962692285491723,7,7
meta-llama/Llama-3.3-70B-Instruct,GGB_inverted,,0,,5,6.999995160489999,0.0052263802978504414,7,7
meta-llama/Llama-3.3-70B-Instruct,GGB_inverted,,0,,6,1.0454802017446698,0.5203791797030697,1,1
meta-llama/Llama-3.3-70B-Instruct,GGB_inverted,,0,,7,6.948528888978175,0.5533103059930551,7,7
meta-llama/Llama-3.3-70B-Instruct,GGB_inverted,,0,,8,6.9999705720806995,0.013163265913556734,7,7
meta-llama/Llama-3.3-70B-Instruct,GGB_inverted,,0,,9,6.999997783604467,0.0034108138556196445,7,7
meta-llama/Llama-3.3-70B-Instruct,GGB_inverted,,0,,10,6.999999965837143,0.0003772293775260664,7,7
meta-llama/Llama-3.3-70B-Instruct,GGB_inverted,,0,,11,6.999999594727012,0.0014269762192491585,7,7
meta-llama/Llama-3.3-70B-Instruct,GGB_inverted,,0,,12,6.999999921193147,0.0005610496588829855,7,7
meta-llama/Llama-3.3-70B-Instruct,GGB_inverted,,0,,13,6.999999881071614,0.0007050351916074987,7,7
meta-llama/Llama-3.3-70B-Instruct,GGB_inverted,,0,,14,6.999939043043187,0.01910274156090369,7,7
meta-llama/Llama-3.3-70B-Instruct,GGB_inverted,,0,,15,1.0000000293464613,0.0003871315959973187,1,1
meta-llama/Llama-3.3-70B-Instruct,GGB_inverted,,0,,16,6.999999608194796,0.0014885898882282282,7,7
meta-llama/Llama-3.3-70B-Instruct,GGB_inverted,,0,,17,6.999999880725772,0.0007445871644479057,7,7
meta-llama/Llama-3.3-70B-Instruct,GGB_inverted,,0,,18,1.8883031604360185,2.1308937075889745,1,1
meta-llama/Llama-3.3-70B-Instruct,GGB_inverted,,0,,19,6.999999720860612,0.0011878361294422317,7,7
meta-llama/Llama-3.3-70B-Instruct,GGB_inverted,,0,,20,6.999982484735329,0.010229150427357945,7,7
meta-llama/Llama-3.3-70B-Instruct,GGB_inverted,,0,,21,6.999727561818833,0.04042681865835216,7,7
meta-llama/Llama-3.3-70B-Instruct,GGB_inverted,,0,,22,6.7760304638247995,1.1373684210574808,7,7
meta-llama/Llama-3.3-70B-Instruct,GGB_inverted,,0,,23,6.9999994006090285,0.0018184416543335982,7,7
meta-llama/Llama-3.3-70B-Instruct,GGB_inverted,,0,,24,5.6637993910390705,2.496349260333929,1,1
meta-llama/Llama-3.3-70B-Instruct,GGB_inverted,,0,,25,6.999999938610717,0.0005137069235287789,7,7
meta-llama/Llama-3.3-70B-Instruct,GGB_inverted,,0,,26,6.999998514814813,0.002804394534117726,7,7
meta-llama/Llama-3.3-70B-Instruct,GGB_inverted,,0,,27,6.999603479541618,0.04876485377623655,7,7
meta-llama/Llama-3.3-70B-Instruct,GGB_inverted,,0,,28,1.1557602264284834,0.9540871412049672,1,1
meta-llama/Llama-3.3-70B-Instruct,GGB_inverted,,0,,29,6.801348934067723,1.0731715345654373,7,7
meta-llama/Llama-3.3-70B-Instruct,GGB_inverted,,0,,30,1.000001640891208,0.003131592531812434,1,1
meta-llama/Llama-3.3-70B-Instruct,GGB_inverted,,0,,31,6.999999767513764,0.0011560790325628265,7,7
meta-llama/Llama-3.3-70B-Instruct,GGB_inverted,,0,,32,5.905446794442836,2.317168455373543,7,7
meta-llama/Llama-3.3-70B-Instruct,GGB_inverted,,0,,33,1.0001668467902425,0.03160979885114038,1,1
meta-llama/Llama-3.3-70B-Instruct,GGB_inverted,,0,,34,6.999999884011298,0.0007040459793983747,7,7
meta-llama/Llama-3.3-70B-Instruct,GGB_inverted,,0,,35,6.999996395696759,0.004397714827823877,7,7
meta-llama/Llama-3.3-70B-Instruct,GGB_inverted,,0,,36,6.972338675143016,0.40642919412051504,7,7
meta-llama/Llama-3.3-70B-Instruct,GGB_inverted,,0,,37,1.00000005564523,0.0005634188778718333,1,1
meta-llama/Llama-3.3-70B-Instruct,GGB_inverted,,0,,38,6.999995167913722,0.004990159726350138,7,7
meta-llama/Llama-3.3-70B-Instruct,GGB_inverted,,0,,39,1.0000023951926176,0.0037839895566092944,1,1
