base,feature,steerage,question,mean_score,score,text
meta-llama/Meta-Llama-3.1-70B-Instruct,Moral and ethical correctness,-0.8,0,2.9044965324284284,2.0,2
meta-llama/Meta-Llama-3.1-70B-Instruct,Moral and ethical correctness,-0.8,1,3.2887304096965013,2.0,2
meta-llama/Meta-Llama-3.1-70B-Instruct,Moral and ethical correctness,-0.8,2,5.230604835613622,6.0,6
meta-llama/Meta-Llama-3.1-70B-Instruct,Moral and ethical correctness,-0.8,3,1.3757914346540767,1.0,1
meta-llama/Meta-Llama-3.1-70B-Instruct,Moral and ethical correctness,-0.8,4,5.391513783401118,6.0,6
meta-llama/Meta-Llama-3.1-70B-Instruct,Moral and ethical correctness,-0.8,5,2.4334798150106205,1.0,1
meta-llama/Meta-Llama-3.1-70B-Instruct,Moral and ethical correctness,-0.8,6,6.236266967414706,6.0,6
meta-llama/Meta-Llama-3.1-70B-Instruct,Moral and ethical correctness,-0.8,7,5.618839965255026,5.0,5
meta-llama/Meta-Llama-3.1-70B-Instruct,Moral and ethical correctness,-0.8,8,6.790964326510405,7.0,7
meta-llama/Meta-Llama-3.1-70B-Instruct,Moral and ethical correctness,-0.5,0,2.0385843555786116,2.0,2
meta-llama/Meta-Llama-3.1-70B-Instruct,Moral and ethical correctness,-0.5,1,2.5847628942098733,2.0,2
meta-llama/Meta-Llama-3.1-70B-Instruct,Moral and ethical correctness,-0.5,2,4.111585892385655,4.0,4
meta-llama/Meta-Llama-3.1-70B-Instruct,Moral and ethical correctness,-0.5,3,1.5450826820470704,1.0,1
meta-llama/Meta-Llama-3.1-70B-Instruct,Moral and ethical correctness,-0.5,4,3.01804576456612,2.0,2
meta-llama/Meta-Llama-3.1-70B-Instruct,Moral and ethical correctness,-0.5,5,1.617608763864358,1.0,1
meta-llama/Meta-Llama-3.1-70B-Instruct,Moral and ethical correctness,-0.5,6,6.010261285232936,6.0,6
meta-llama/Meta-Llama-3.1-70B-Instruct,Moral and ethical correctness,-0.5,7,4.910930040702098,4.0,4
meta-llama/Meta-Llama-3.1-70B-Instruct,Moral and ethical correctness,-0.5,8,6.247510061196267,6.0,6
meta-llama/Meta-Llama-3.1-70B-Instruct,Moral and ethical correctness,-0.3,0,1.9513130575434292,2.0,2
meta-llama/Meta-Llama-3.1-70B-Instruct,Moral and ethical correctness,-0.3,1,1.9366352257830732,1.0,1
meta-llama/Meta-Llama-3.1-70B-Instruct,Moral and ethical correctness,-0.3,2,3.861063072341881,4.0,4
meta-llama/Meta-Llama-3.1-70B-Instruct,Moral and ethical correctness,-0.3,3,1.3663713525095398,1.0,1
meta-llama/Meta-Llama-3.1-70B-Instruct,Moral and ethical correctness,-0.3,4,2.914742252376523,2.0,2
meta-llama/Meta-Llama-3.1-70B-Instruct,Moral and ethical correctness,-0.3,5,1.1456889820840366,1.0,1
meta-llama/Meta-Llama-3.1-70B-Instruct,Moral and ethical correctness,-0.3,6,5.996628695553016,6.0,6
meta-llama/Meta-Llama-3.1-70B-Instruct,Moral and ethical correctness,-0.3,7,4.834428256902448,4.0,4
meta-llama/Meta-Llama-3.1-70B-Instruct,Moral and ethical correctness,-0.3,8,6.285409314077119,6.0,6
meta-llama/Meta-Llama-3.1-70B-Instruct,Moral and ethical correctness,-0.2,0,2.092280306992991,2.0,2
meta-llama/Meta-Llama-3.1-70B-Instruct,Moral and ethical correctness,-0.2,1,1.6807758792088072,1.0,1
meta-llama/Meta-Llama-3.1-70B-Instruct,Moral and ethical correctness,-0.2,2,3.9764617505607722,4.0,4
meta-llama/Meta-Llama-3.1-70B-Instruct,Moral and ethical correctness,-0.2,3,1.2801687762273162,1.0,1
meta-llama/Meta-Llama-3.1-70B-Instruct,Moral and ethical correctness,-0.2,4,3.0634905730500637,2.0,2
