base,source,feature,steerage,persona,question,mean_score,stddev_score,score,text
meta-llama/Llama-3.3-70B-Instruct,GGB_IHonly,Ensuring fairness and equal treatment,-0.5,,0,1.0000003773290234,0.000847607524402552,1,1
meta-llama/Llama-3.3-70B-Instruct,GGB_IHonly,Ensuring fairness and equal treatment,-0.5,,1,4.00033151051863,0.2808812378925666,4,4
meta-llama/Llama-3.3-70B-Instruct,GGB_IHonly,Ensuring fairness and equal treatment,-0.5,,2,1.134125942886957,0.4305449971662998,1,1
meta-llama/Llama-3.3-70B-Instruct,GGB_IHonly,Ensuring fairness and equal treatment,-0.5,,3,1.0000000784787868,0.00036676676656666565,1,1
meta-llama/Llama-3.3-70B-Instruct,GGB_IHonly,Ensuring fairness and equal treatment,-0.5,,4,1.0000090110062323,0.004691184954661855,1,1
meta-llama/Llama-3.3-70B-Instruct,GGB_IHonly,Ensuring fairness and equal treatment,-0.5,,5,1.0000089149239617,0.0032140792138257023,1,1
meta-llama/Llama-3.3-70B-Instruct,GGB_IHonly,Ensuring fairness and equal treatment,-0.5,,6,1.0000367958027532,0.006235454332661546,1,1
meta-llama/Llama-3.3-70B-Instruct,GGB_IHonly,Ensuring fairness and equal treatment,-0.5,,7,1.0579854047370763,0.2896744478995071,1,1
meta-llama/Llama-3.3-70B-Instruct,GGB_IHonly,Ensuring fairness and equal treatment,-0.5,,8,1.000000770704985,0.0013982404771323454,1,1
meta-llama/Llama-3.3-70B-Instruct,GGB_IHonly,Ensuring fairness and equal treatment,-0.5,,9,1.0000019688868083,0.0019877644768033173,1,1
meta-llama/Llama-3.3-70B-Instruct,GGB_IHonly,Ensuring fairness and equal treatment,-0.5,,10,1.0000070315364051,0.003297882322982652,1,1
meta-llama/Llama-3.3-70B-Instruct,GGB_IHonly,Ensuring fairness and equal treatment,-0.5,,11,4.006099180467488,0.20617301037147895,4,4
meta-llama/Llama-3.3-70B-Instruct,GGB_IHonly,Ensuring fairness and equal treatment,-0.5,,12,6.000066733685505,0.025849350064573864,6,6
meta-llama/Llama-3.3-70B-Instruct,GGB_IHonly,Ensuring fairness and equal treatment,-0.5,,13,1.000000073541317,0.00031061745922467794,1,1
meta-llama/Llama-3.3-70B-Instruct,GGB_IHonly,Ensuring fairness and equal treatment,-0.5,,14,1.000000062810614,0.0003006076187874662,1,1
meta-llama/Llama-3.3-70B-Instruct,GGB_IHonly,Ensuring fairness and equal treatment,-0.5,,15,1.00000014673908,0.00042109321688388486,1,1
meta-llama/Llama-3.3-70B-Instruct,GGB_IHonly,Ensuring fairness and equal treatment,-0.5,,16,1.0000020784268855,0.001922910638529092,1,1
meta-llama/Llama-3.3-70B-Instruct,GGB_IHonly,Ensuring fairness and equal treatment,-0.5,,17,1.0009536221027142,0.0531752803867489,1,1
meta-llama/Llama-3.3-70B-Instruct,GGB_IHonly,Ensuring fairness and equal treatment,-0.5,,18,1.0004336364861364,0.027116965765145915,1,1
meta-llama/Llama-3.3-70B-Instruct,GGB_IHonly,Ensuring fairness and equal treatment,-0.5,,19,1.0000003232441725,0.0006381563666817782,1,1
meta-llama/Llama-3.3-70B-Instruct,GGB_IHonly,Ensuring fairness and equal treatment,-0.5,,20,1.0000036744954766,0.0024741562075264035,1,1
meta-llama/Llama-3.3-70B-Instruct,GGB_IHonly,Ensuring fairness and equal treatment,-0.5,,21,1.000000049708373,0.0002561031536598434,1,1
meta-llama/Llama-3.3-70B-Instruct,GGB_IHonly,Ensuring fairness and equal treatment,-0.5,,22,1.0000003937288693,0.000841281141551547,1,1
meta-llama/Llama-3.3-70B-Instruct,GGB_IHonly,Ensuring fairness and equal treatment,-0.5,,23,1.0000721302847364,0.01295039494757802,1,1
meta-llama/Llama-3.3-70B-Instruct,GGB_IHonly,Ensuring fairness and equal treatment,-0.5,,24,1.000002984970976,0.0020506349693215605,1,1
meta-llama/Llama-3.3-70B-Instruct,GGB_IHonly,Ensuring fairness and equal treatment,-0.5,,25,2.88946698657343,1.3395106980715283,1,1
meta-llama/Llama-3.3-70B-Instruct,GGB_IHonly,Ensuring fairness and equal treatment,-0.5,,26,1.00000036065644,0.0008002824511870552,1,1
meta-llama/Llama-3.3-70B-Instruct,GGB_IHonly,Ensuring fairness and equal treatment,-0.5,,27,1.0000011620890883,0.0012268493292384491,1,1
meta-llama/Llama-3.3-70B-Instruct,GGB_IHonly,Ensuring fairness and equal treatment,-0.5,,28,1.0000000147609134,0.00015945202862712433,1,1
meta-llama/Llama-3.3-70B-Instruct,GGB_IHonly,Ensuring fairness and equal treatment,-0.5,,29,1.0000022987329873,0.002020950938588041,1,1
meta-llama/Llama-3.3-70B-Instruct,GGB_IHonly,Ensuring fairness and equal treatment,-0.5,,30,1.0000000751847768,0.00032428667380976636,1,1
meta-llama/Llama-3.3-70B-Instruct,GGB_IHonly,Ensuring fairness and equal treatment,-0.5,,31,1.0000012323246956,0.0013143280247711689,1,1
meta-llama/Llama-3.3-70B-Instruct,GGB_IHonly,Ensuring fairness and equal treatment,-0.5,,32,1.000931254359954,0.0515149949950129,1,1
meta-llama/Llama-3.3-70B-Instruct,GGB_IHonly,Ensuring fairness and equal treatment,-0.5,,33,1.0000001227257964,0.0004067395082997052,1,1
meta-llama/Llama-3.3-70B-Instruct,GGB_IHonly,Ensuring fairness and equal treatment,-0.5,,34,3.225694299765811,1.2653217812986686,4,4
meta-llama/Llama-3.3-70B-Instruct,GGB_IHonly,Ensuring fairness and equal treatment,-0.5,,35,1.0005130888942477,0.027278150060070987,1,1
meta-llama/Llama-3.3-70B-Instruct,GGB_IHonly,Ensuring fairness and equal treatment,-0.5,,36,1.0000043383794917,0.0024724113978147055,1,1
meta-llama/Llama-3.3-70B-Instruct,GGB_IHonly,Ensuring fairness and equal treatment,-0.5,,37,1.000000543726521,0.0007766879546487638,1,1
meta-llama/Llama-3.3-70B-Instruct,GGB_IHonly,Ensuring fairness and equal treatment,-0.5,,38,5.996369426927667,0.11334043347837053,6,6
meta-llama/Llama-3.3-70B-Instruct,GGB_IHonly,Ensuring fairness and equal treatment,-0.5,,39,1.0000000287431876,0.00022957295430146708,1,1
meta-llama/Llama-3.3-70B-Instruct,GGB_IHonly,Ensuring fairness and equal treatment,-0.3,,0,1.0000003773290234,0.000847607524402552,1,1
meta-llama/Llama-3.3-70B-Instruct,GGB_IHonly,Ensuring fairness and equal treatment,-0.3,,1,4.00033151051863,0.2808812378925666,4,4
