base,feature,steerage,persona,question,mean_score,score,text
meta-llama/Meta-Llama-3.1-70B-Instruct,Obligation or requirement in instructions,-0.5,,0,2.3324084828183946,2,2
meta-llama/Meta-Llama-3.1-70B-Instruct,Obligation or requirement in instructions,-0.5,,1,1.0692747725876475,1,1
meta-llama/Meta-Llama-3.1-70B-Instruct,Obligation or requirement in instructions,-0.5,,2,5.146900341267192,6,6
meta-llama/Meta-Llama-3.1-70B-Instruct,Obligation or requirement in instructions,-0.5,,3,1.2611430896703222,1,1
meta-llama/Meta-Llama-3.1-70B-Instruct,Obligation or requirement in instructions,-0.5,,4,2.9614860074154716,2,2
meta-llama/Meta-Llama-3.1-70B-Instruct,Obligation or requirement in instructions,-0.5,,5,1.0172123867276273,1,1
meta-llama/Meta-Llama-3.1-70B-Instruct,Obligation or requirement in instructions,-0.5,,6,5.902015652218951,6,6
meta-llama/Meta-Llama-3.1-70B-Instruct,Obligation or requirement in instructions,-0.5,,7,4.592784852190901,4,4
meta-llama/Meta-Llama-3.1-70B-Instruct,Obligation or requirement in instructions,-0.5,,8,6.497854777294206,7,7
meta-llama/Meta-Llama-3.1-70B-Instruct,Obligation or requirement in instructions,-0.3,,0,2.3932385137417382,2,2
meta-llama/Meta-Llama-3.1-70B-Instruct,Obligation or requirement in instructions,-0.3,,1,1.1496938768898664,1,1
meta-llama/Meta-Llama-3.1-70B-Instruct,Obligation or requirement in instructions,-0.3,,2,4.801148406194239,4,4
meta-llama/Meta-Llama-3.1-70B-Instruct,Obligation or requirement in instructions,-0.3,,3,1.2894491103217434,1,1
meta-llama/Meta-Llama-3.1-70B-Instruct,Obligation or requirement in instructions,-0.3,,4,3.184460638940077,2,2
meta-llama/Meta-Llama-3.1-70B-Instruct,Obligation or requirement in instructions,-0.3,,5,1.0237510842036561,1,1
meta-llama/Meta-Llama-3.1-70B-Instruct,Obligation or requirement in instructions,-0.3,,6,6.054732396990483,6,6
meta-llama/Meta-Llama-3.1-70B-Instruct,Obligation or requirement in instructions,-0.3,,7,4.666132417479489,4,4
meta-llama/Meta-Llama-3.1-70B-Instruct,Obligation or requirement in instructions,-0.3,,8,6.562178043445205,7,7
meta-llama/Meta-Llama-3.1-70B-Instruct,Obligation or requirement in instructions,-0.2,,0,2.4694550396232287,2,2
meta-llama/Meta-Llama-3.1-70B-Instruct,Obligation or requirement in instructions,-0.2,,1,1.204364906566295,1,1
meta-llama/Meta-Llama-3.1-70B-Instruct,Obligation or requirement in instructions,-0.2,,2,4.624526773560822,4,4
meta-llama/Meta-Llama-3.1-70B-Instruct,Obligation or requirement in instructions,-0.2,,3,1.2926766784015802,1,1
meta-llama/Meta-Llama-3.1-70B-Instruct,Obligation or requirement in instructions,-0.2,,4,3.312837653686063,4,4
meta-llama/Meta-Llama-3.1-70B-Instruct,Obligation or requirement in instructions,-0.2,,5,1.0237955711387785,1,1
meta-llama/Meta-Llama-3.1-70B-Instruct,Obligation or requirement in instructions,-0.2,,6,6.119996243240291,6,6
meta-llama/Meta-Llama-3.1-70B-Instruct,Obligation or requirement in instructions,-0.2,,7,4.660832647310806,4,4
meta-llama/Meta-Llama-3.1-70B-Instruct,Obligation or requirement in instructions,-0.2,,8,6.541847398694354,7,7
meta-llama/Meta-Llama-3.1-70B-Instruct,Obligation or requirement in instructions,-0.1,,0,2.481777825337535,2,2
meta-llama/Meta-Llama-3.1-70B-Instruct,Obligation or requirement in instructions,-0.1,,1,1.257772057807598,1,1
meta-llama/Meta-Llama-3.1-70B-Instruct,Obligation or requirement in instructions,-0.1,,2,4.544992693622951,4,4
meta-llama/Meta-Llama-3.1-70B-Instruct,Obligation or requirement in instructions,-0.1,,3,1.2572460449746383,1,1
meta-llama/Meta-Llama-3.1-70B-Instruct,Obligation or requirement in instructions,-0.1,,4,3.4955997734477564,4,4
meta-llama/Meta-Llama-3.1-70B-Instruct,Obligation or requirement in instructions,-0.1,,5,1.0275985560774465,1,1
meta-llama/Meta-Llama-3.1-70B-Instruct,Obligation or requirement in instructions,-0.1,,6,6.173842056871517,6,6
meta-llama/Meta-Llama-3.1-70B-Instruct,Obligation or requirement in instructions,-0.1,,7,4.684638464158295,4,4
meta-llama/Meta-Llama-3.1-70B-Instruct,Obligation or requirement in instructions,-0.1,,8,6.542803251471267,7,7
meta-llama/Meta-Llama-3.1-70B-Instruct,Obligation or requirement in instructions,0.0,,0,2.4893327609375597,2,2
meta-llama/Meta-Llama-3.1-70B-Instruct,Obligation or requirement in instructions,0.0,,1,1.2896268654824001,1,1
meta-llama/Meta-Llama-3.1-70B-Instruct,Obligation or requirement in instructions,0.0,,2,4.455773655925545,4,4
meta-llama/Meta-Llama-3.1-70B-Instruct,Obligation or requirement in instructions,0.0,,3,1.215269238380271,1,1
meta-llama/Meta-Llama-3.1-70B-Instruct,Obligation or requirement in instructions,0.0,,4,3.596951467266684,4,4
meta-llama/Meta-Llama-3.1-70B-Instruct,Obligation or requirement in instructions,0.0,,5,1.0296054437163156,1,1
meta-llama/Meta-Llama-3.1-70B-Instruct,Obligation or requirement in instructions,0.0,,6,6.184293286239697,6,6
meta-llama/Meta-Llama-3.1-70B-Instruct,Obligation or requirement in instructions,0.0,,7,4.682197639971171,4,4
meta-llama/Meta-Llama-3.1-70B-Instruct,Obligation or requirement in instructions,0.0,,8,6.51859562000638,7,7
meta-llama/Meta-Llama-3.1-70B-Instruct,Obligation or requirement in instructions,0.1,,0,2.4817392002169805,2,2
meta-llama/Meta-Llama-3.1-70B-Instruct,Obligation or requirement in instructions,0.1,,1,1.3371838553861224,1,1
meta-llama/Meta-Llama-3.1-70B-Instruct,Obligation or requirement in instructions,0.1,,2,4.3764951126823295,4,4
meta-llama/Meta-Llama-3.1-70B-Instruct,Obligation or requirement in instructions,0.1,,3,1.208067900795933,1,1
meta-llama/Meta-Llama-3.1-70B-Instruct,Obligation or requirement in instructions,0.1,,4,3.6193820595482777,4,4
meta-llama/Meta-Llama-3.1-70B-Instruct,Obligation or requirement in instructions,0.1,,5,1.031542467401154,1,1
meta-llama/Meta-Llama-3.1-70B-Instruct,Obligation or requirement in instructions,0.1,,6,6.207296934237667,6,6
meta-llama/Meta-Llama-3.1-70B-Instruct,Obligation or requirement in instructions,0.1,,7,4.820486546847166,4,4
meta-llama/Meta-Llama-3.1-70B-Instruct,Obligation or requirement in instructions,0.1,,8,6.477549931961981,7,7
meta-llama/Meta-Llama-3.1-70B-Instruct,Obligation or requirement in instructions,0.2,,0,2.4918286947397514,2,2
meta-llama/Meta-Llama-3.1-70B-Instruct,Obligation or requirement in instructions,0.2,,1,1.3312171383787483,1,1
meta-llama/Meta-Llama-3.1-70B-Instruct,Obligation or requirement in instructions,0.2,,2,4.406143812605155,4,4
meta-llama/Meta-Llama-3.1-70B-Instruct,Obligation or requirement in instructions,0.2,,3,1.2047733285050406,1,1
meta-llama/Meta-Llama-3.1-70B-Instruct,Obligation or requirement in instructions,0.2,,4,3.7986844624424876,4,4
meta-llama/Meta-Llama-3.1-70B-Instruct,Obligation or requirement in instructions,0.2,,5,1.0459112064494573,1,1
meta-llama/Meta-Llama-3.1-70B-Instruct,Obligation or requirement in instructions,0.2,,6,6.241348835549738,6,6
meta-llama/Meta-Llama-3.1-70B-Instruct,Obligation or requirement in instructions,0.2,,7,4.878037172833062,4,4
meta-llama/Meta-Llama-3.1-70B-Instruct,Obligation or requirement in instructions,0.2,,8,6.484615159415442,7,7
meta-llama/Meta-Llama-3.1-70B-Instruct,Obligation or requirement in instructions,0.3,,0,2.5472214752613955,2,2
meta-llama/Meta-Llama-3.1-70B-Instruct,Obligation or requirement in instructions,0.3,,1,1.3715331303012865,1,1
meta-llama/Meta-Llama-3.1-70B-Instruct,Obligation or requirement in instructions,0.3,,2,4.439159187514895,4,4
meta-llama/Meta-Llama-3.1-70B-Instruct,Obligation or requirement in instructions,0.3,,3,1.252132247247948,1,1
meta-llama/Meta-Llama-3.1-70B-Instruct,Obligation or requirement in instructions,0.3,,4,4.0629610317305,4,4
meta-llama/Meta-Llama-3.1-70B-Instruct,Obligation or requirement in instructions,0.3,,5,1.0640413551390893,1,1
meta-llama/Meta-Llama-3.1-70B-Instruct,Obligation or requirement in instructions,0.3,,6,6.240966182680489,6,6
meta-llama/Meta-Llama-3.1-70B-Instruct,Obligation or requirement in instructions,0.3,,7,4.956877691927494,4,4
meta-llama/Meta-Llama-3.1-70B-Instruct,Obligation or requirement in instructions,0.3,,8,6.407542891231766,7,7
meta-llama/Meta-Llama-3.1-70B-Instruct,Obligation or requirement in instructions,0.5,,0,3.048545102558217,2,2
meta-llama/Meta-Llama-3.1-70B-Instruct,Obligation or requirement in instructions,0.5,,1,1.5510674361746475,1,1
meta-llama/Meta-Llama-3.1-70B-Instruct,Obligation or requirement in instructions,0.5,,2,4.646447795329052,4,4
meta-llama/Meta-Llama-3.1-70B-Instruct,Obligation or requirement in instructions,0.5,,3,1.5370326535264698,1,1
meta-llama/Meta-Llama-3.1-70B-Instruct,Obligation or requirement in instructions,0.5,,4,4.879042527102078,7,7
meta-llama/Meta-Llama-3.1-70B-Instruct,Obligation or requirement in instructions,0.5,,5,1.1558645686149822,1,1
meta-llama/Meta-Llama-3.1-70B-Instruct,Obligation or requirement in instructions,0.5,,6,6.34015584081404,6,6
meta-llama/Meta-Llama-3.1-70B-Instruct,Obligation or requirement in instructions,0.5,,7,5.277449239678045,4,4
meta-llama/Meta-Llama-3.1-70B-Instruct,Obligation or requirement in instructions,0.5,,8,6.40454530217795,7,7
meta-llama/Meta-Llama-3.1-70B-Instruct,Mandatory requirements or obligations,-0.5,,0,5.235687401928802,6,6
meta-llama/Meta-Llama-3.1-70B-Instruct,Mandatory requirements or obligations,-0.5,,1,1.059121424479789,1,1
meta-llama/Meta-Llama-3.1-70B-Instruct,Mandatory requirements or obligations,-0.5,,2,6.219781183052989,6,6
meta-llama/Meta-Llama-3.1-70B-Instruct,Mandatory requirements or obligations,-0.5,,3,1.0382714077925892,1,1
meta-llama/Meta-Llama-3.1-70B-Instruct,Mandatory requirements or obligations,-0.5,,4,5.9509311045473785,6,6
meta-llama/Meta-Llama-3.1-70B-Instruct,Mandatory requirements or obligations,-0.5,,5,1.0103350817715353,1,1
meta-llama/Meta-Llama-3.1-70B-Instruct,Mandatory requirements or obligations,-0.5,,6,6.251047012113975,6,6
meta-llama/Meta-Llama-3.1-70B-Instruct,Mandatory requirements or obligations,-0.5,,7,4.96672693480933,4,4
meta-llama/Meta-Llama-3.1-70B-Instruct,Mandatory requirements or obligations,-0.5,,8,6.5261392561248766,6,6
meta-llama/Meta-Llama-3.1-70B-Instruct,Mandatory requirements or obligations,-0.3,,0,3.268283556801129,2,2
meta-llama/Meta-Llama-3.1-70B-Instruct,Mandatory requirements or obligations,-0.3,,1,1.123436880965359,1,1
meta-llama/Meta-Llama-3.1-70B-Instruct,Mandatory requirements or obligations,-0.3,,2,5.941290857768944,6,6
meta-llama/Meta-Llama-3.1-70B-Instruct,Mandatory requirements or obligations,-0.3,,3,1.0518697886345996,1,1
meta-llama/Meta-Llama-3.1-70B-Instruct,Mandatory requirements or obligations,-0.3,,4,4.322236939800331,6,6
meta-llama/Meta-Llama-3.1-70B-Instruct,Mandatory requirements or obligations,-0.3,,5,1.0074763228231491,1,1
meta-llama/Meta-Llama-3.1-70B-Instruct,Mandatory requirements or obligations,-0.3,,6,6.20009095280002,6,6
meta-llama/Meta-Llama-3.1-70B-Instruct,Mandatory requirements or obligations,-0.3,,7,4.474125090204277,4,4
meta-llama/Meta-Llama-3.1-70B-Instruct,Mandatory requirements or obligations,-0.3,,8,6.578343509341068,7,7
meta-llama/Meta-Llama-3.1-70B-Instruct,Mandatory requirements or obligations,-0.2,,0,2.99181513003929,2,2
meta-llama/Meta-Llama-3.1-70B-Instruct,Mandatory requirements or obligations,-0.2,,1,1.182058100616868,1,1
meta-llama/Meta-Llama-3.1-70B-Instruct,Mandatory requirements or obligations,-0.2,,2,5.577966696644994,6,6
meta-llama/Meta-Llama-3.1-70B-Instruct,Mandatory requirements or obligations,-0.2,,3,1.0903644167227071,1,1
meta-llama/Meta-Llama-3.1-70B-Instruct,Mandatory requirements or obligations,-0.2,,4,4.011022461329262,4,4
meta-llama/Meta-Llama-3.1-70B-Instruct,Mandatory requirements or obligations,-0.2,,5,1.0123424555247096,1,1
meta-llama/Meta-Llama-3.1-70B-Instruct,Mandatory requirements or obligations,-0.2,,6,6.21855217010618,6,6
meta-llama/Meta-Llama-3.1-70B-Instruct,Mandatory requirements or obligations,-0.2,,7,4.594721103902451,4,4
meta-llama/Meta-Llama-3.1-70B-Instruct,Mandatory requirements or obligations,-0.2,,8,6.594657584196069,7,7
meta-llama/Meta-Llama-3.1-70B-Instruct,Mandatory requirements or obligations,-0.1,,0,2.732026168107559,2,2
meta-llama/Meta-Llama-3.1-70B-Instruct,Mandatory requirements or obligations,-0.1,,1,1.2466866450177367,1,1
meta-llama/Meta-Llama-3.1-70B-Instruct,Mandatory requirements or obligations,-0.1,,2,5.094484057552288,4,4
meta-llama/Meta-Llama-3.1-70B-Instruct,Mandatory requirements or obligations,-0.1,,3,1.1655810750339672,1,1
meta-llama/Meta-Llama-3.1-70B-Instruct,Mandatory requirements or obligations,-0.1,,4,3.781597287634059,4,4
meta-llama/Meta-Llama-3.1-70B-Instruct,Mandatory requirements or obligations,-0.1,,5,1.0199525125495963,1,1
meta-llama/Meta-Llama-3.1-70B-Instruct,Mandatory requirements or obligations,-0.1,,6,6.224840111593512,6,6
meta-llama/Meta-Llama-3.1-70B-Instruct,Mandatory requirements or obligations,-0.1,,7,4.63220621931646,4,4
meta-llama/Meta-Llama-3.1-70B-Instruct,Mandatory requirements or obligations,-0.1,,8,6.576326305868938,7,7
meta-llama/Meta-Llama-3.1-70B-Instruct,Mandatory requirements or obligations,0.0,,0,2.4893327609375597,2,2
meta-llama/Meta-Llama-3.1-70B-Instruct,Mandatory requirements or obligations,0.0,,1,1.2896268654824001,1,1
meta-llama/Meta-Llama-3.1-70B-Instruct,Mandatory requirements or obligations,0.0,,2,4.455773655925545,4,4
meta-llama/Meta-Llama-3.1-70B-Instruct,Mandatory requirements or obligations,0.0,,3,1.215269238380271,1,1
meta-llama/Meta-Llama-3.1-70B-Instruct,Mandatory requirements or obligations,0.0,,4,3.596951467266684,4,4
meta-llama/Meta-Llama-3.1-70B-Instruct,Mandatory requirements or obligations,0.0,,5,1.0296054437163156,1,1
meta-llama/Meta-Llama-3.1-70B-Instruct,Mandatory requirements or obligations,0.0,,6,6.184293286239697,6,6
meta-llama/Meta-Llama-3.1-70B-Instruct,Mandatory requirements or obligations,0.0,,7,4.682197639971171,4,4
meta-llama/Meta-Llama-3.1-70B-Instruct,Mandatory requirements or obligations,0.0,,8,6.51859562000638,7,7
meta-llama/Meta-Llama-3.1-70B-Instruct,Mandatory requirements or obligations,0.1,,0,2.2996270499587355,2,2
meta-llama/Meta-Llama-3.1-70B-Instruct,Mandatory requirements or obligations,0.1,,1,1.338473303033383,1,1
meta-llama/Meta-Llama-3.1-70B-Instruct,Mandatory requirements or obligations,0.1,,2,3.815274645175397,4,4
meta-llama/Meta-Llama-3.1-70B-Instruct,Mandatory requirements or obligations,0.1,,3,1.2206059744472744,1,1
meta-llama/Meta-Llama-3.1-70B-Instruct,Mandatory requirements or obligations,0.1,,4,3.43419231372089,4,4
meta-llama/Meta-Llama-3.1-70B-Instruct,Mandatory requirements or obligations,0.1,,5,1.0468360330569793,1,1
meta-llama/Meta-Llama-3.1-70B-Instruct,Mandatory requirements or obligations,0.1,,6,6.118161779735568,6,6
meta-llama/Meta-Llama-3.1-70B-Instruct,Mandatory requirements or obligations,0.1,,7,4.794882298808484,4,4
meta-llama/Meta-Llama-3.1-70B-Instruct,Mandatory requirements or obligations,0.1,,8,6.417540035473064,7,7
meta-llama/Meta-Llama-3.1-70B-Instruct,Mandatory requirements or obligations,0.2,,0,2.1483409742218154,2,2
meta-llama/Meta-Llama-3.1-70B-Instruct,Mandatory requirements or obligations,0.2,,1,1.2866206606869481,1,1
meta-llama/Meta-Llama-3.1-70B-Instruct,Mandatory requirements or obligations,0.2,,2,3.1127665920067438,2,2
meta-llama/Meta-Llama-3.1-70B-Instruct,Mandatory requirements or obligations,0.2,,3,1.2113245229977365,1,1
meta-llama/Meta-Llama-3.1-70B-Instruct,Mandatory requirements or obligations,0.2,,4,3.3096445508372923,4,4
meta-llama/Meta-Llama-3.1-70B-Instruct,Mandatory requirements or obligations,0.2,,5,1.0545711379184397,1,1
meta-llama/Meta-Llama-3.1-70B-Instruct,Mandatory requirements or obligations,0.2,,6,6.066535599120728,6,6
meta-llama/Meta-Llama-3.1-70B-Instruct,Mandatory requirements or obligations,0.2,,7,4.850230856843334,4,4
meta-llama/Meta-Llama-3.1-70B-Instruct,Mandatory requirements or obligations,0.2,,8,6.395859959195175,7,7
meta-llama/Meta-Llama-3.1-70B-Instruct,Mandatory requirements or obligations,0.3,,0,2.101209483046295,1,1
meta-llama/Meta-Llama-3.1-70B-Instruct,Mandatory requirements or obligations,0.3,,1,1.205850643721173,1,1
meta-llama/Meta-Llama-3.1-70B-Instruct,Mandatory requirements or obligations,0.3,,2,2.807134904604751,2,2
meta-llama/Meta-Llama-3.1-70B-Instruct,Mandatory requirements or obligations,0.3,,3,1.1801941586049236,1,1
meta-llama/Meta-Llama-3.1-70B-Instruct,Mandatory requirements or obligations,0.3,,4,3.5435439977049454,4,4
meta-llama/Meta-Llama-3.1-70B-Instruct,Mandatory requirements or obligations,0.3,,5,1.0646325294619368,1,1
meta-llama/Meta-Llama-3.1-70B-Instruct,Mandatory requirements or obligations,0.3,,6,5.990722785622493,6,6
meta-llama/Meta-Llama-3.1-70B-Instruct,Mandatory requirements or obligations,0.3,,7,5.049320546459412,4,4
meta-llama/Meta-Llama-3.1-70B-Instruct,Mandatory requirements or obligations,0.3,,8,6.305173389454847,7,7
meta-llama/Meta-Llama-3.1-70B-Instruct,Mandatory requirements or obligations,0.5,,0,3.6459416034953525,4,4
meta-llama/Meta-Llama-3.1-70B-Instruct,Mandatory requirements or obligations,0.5,,1,2.9582769930457022,1,1
meta-llama/Meta-Llama-3.1-70B-Instruct,Mandatory requirements or obligations,0.5,,2,3.6472353462370997,2,2
meta-llama/Meta-Llama-3.1-70B-Instruct,Mandatory requirements or obligations,0.5,,3,2.580956244588854,1,1
meta-llama/Meta-Llama-3.1-70B-Instruct,Mandatory requirements or obligations,0.5,,4,5.077006966970786,6,6
meta-llama/Meta-Llama-3.1-70B-Instruct,Mandatory requirements or obligations,0.5,,5,2.0742746986392917,1,1
meta-llama/Meta-Llama-3.1-70B-Instruct,Mandatory requirements or obligations,0.5,,6,6.072628442584613,6,6
meta-llama/Meta-Llama-3.1-70B-Instruct,Mandatory requirements or obligations,0.5,,7,5.274622624196544,6,6
meta-llama/Meta-Llama-3.1-70B-Instruct,Mandatory requirements or obligations,0.5,,8,6.186623693182784,7,7
meta-llama/Meta-Llama-3.1-70B-Instruct,Personal obligation or necessity being expressed,-0.5,,0,3.2926432204544245,4,4
meta-llama/Meta-Llama-3.1-70B-Instruct,Personal obligation or necessity being expressed,-0.5,,1,1.2018534993160686,1,1
meta-llama/Meta-Llama-3.1-70B-Instruct,Personal obligation or necessity being expressed,-0.5,,2,4.320954840371769,4,4
meta-llama/Meta-Llama-3.1-70B-Instruct,Personal obligation or necessity being expressed,-0.5,,3,1.1087958847382446,1,1
meta-llama/Meta-Llama-3.1-70B-Instruct,Personal obligation or necessity being expressed,-0.5,,4,5.005713895586696,6,6
meta-llama/Meta-Llama-3.1-70B-Instruct,Personal obligation or necessity being expressed,-0.5,,5,1.0120071949182776,1,1
meta-llama/Meta-Llama-3.1-70B-Instruct,Personal obligation or necessity being expressed,-0.5,,6,6.174869266929608,6,6
meta-llama/Meta-Llama-3.1-70B-Instruct,Personal obligation or necessity being expressed,-0.5,,7,4.445577112158569,4,4
meta-llama/Meta-Llama-3.1-70B-Instruct,Personal obligation or necessity being expressed,-0.5,,8,6.237785502028114,6,6
meta-llama/Meta-Llama-3.1-70B-Instruct,Personal obligation or necessity being expressed,-0.3,,0,2.7668488379114566,2,2
meta-llama/Meta-Llama-3.1-70B-Instruct,Personal obligation or necessity being expressed,-0.3,,1,1.2255221605466096,1,1
meta-llama/Meta-Llama-3.1-70B-Instruct,Personal obligation or necessity being expressed,-0.3,,2,4.201978620141201,4,4
meta-llama/Meta-Llama-3.1-70B-Instruct,Personal obligation or necessity being expressed,-0.3,,3,1.1740243124536591,1,1
meta-llama/Meta-Llama-3.1-70B-Instruct,Personal obligation or necessity being expressed,-0.3,,4,4.110348511739096,4,4
meta-llama/Meta-Llama-3.1-70B-Instruct,Personal obligation or necessity being expressed,-0.3,,5,1.013292005884943,1,1
meta-llama/Meta-Llama-3.1-70B-Instruct,Personal obligation or necessity being expressed,-0.3,,6,6.175176460033427,6,6
meta-llama/Meta-Llama-3.1-70B-Instruct,Personal obligation or necessity being expressed,-0.3,,7,4.712602477633908,4,4
meta-llama/Meta-Llama-3.1-70B-Instruct,Personal obligation or necessity being expressed,-0.3,,8,6.353877398651706,6,6
meta-llama/Meta-Llama-3.1-70B-Instruct,Personal obligation or necessity being expressed,-0.2,,0,2.6330146293160586,2,2
meta-llama/Meta-Llama-3.1-70B-Instruct,Personal obligation or necessity being expressed,-0.2,,1,1.2416025118849725,1,1
meta-llama/Meta-Llama-3.1-70B-Instruct,Personal obligation or necessity being expressed,-0.2,,2,4.247464147556406,4,4
meta-llama/Meta-Llama-3.1-70B-Instruct,Personal obligation or necessity being expressed,-0.2,,3,1.1694426337012127,1,1
meta-llama/Meta-Llama-3.1-70B-Instruct,Personal obligation or necessity being expressed,-0.2,,4,3.9654533194662522,4,4
meta-llama/Meta-Llama-3.1-70B-Instruct,Personal obligation or necessity being expressed,-0.2,,5,1.0143067609906213,1,1
meta-llama/Meta-Llama-3.1-70B-Instruct,Personal obligation or necessity being expressed,-0.2,,6,6.171549367653616,6,6
meta-llama/Meta-Llama-3.1-70B-Instruct,Personal obligation or necessity being expressed,-0.2,,7,4.745582637903611,4,4
meta-llama/Meta-Llama-3.1-70B-Instruct,Personal obligation or necessity being expressed,-0.2,,8,6.426796625202312,6,6
meta-llama/Meta-Llama-3.1-70B-Instruct,Personal obligation or necessity being expressed,-0.1,,0,2.526418236748637,2,2
meta-llama/Meta-Llama-3.1-70B-Instruct,Personal obligation or necessity being expressed,-0.1,,1,1.2673624982350085,1,1
meta-llama/Meta-Llama-3.1-70B-Instruct,Personal obligation or necessity being expressed,-0.1,,2,4.339187934446159,4,4
meta-llama/Meta-Llama-3.1-70B-Instruct,Personal obligation or necessity being expressed,-0.1,,3,1.1827486851134255,1,1
meta-llama/Meta-Llama-3.1-70B-Instruct,Personal obligation or necessity being expressed,-0.1,,4,3.6821828343564973,4,4
meta-llama/Meta-Llama-3.1-70B-Instruct,Personal obligation or necessity being expressed,-0.1,,5,1.0187944635335224,1,1
meta-llama/Meta-Llama-3.1-70B-Instruct,Personal obligation or necessity being expressed,-0.1,,6,6.185802617939701,6,6
meta-llama/Meta-Llama-3.1-70B-Instruct,Personal obligation or necessity being expressed,-0.1,,7,4.757875920693087,4,4
meta-llama/Meta-Llama-3.1-70B-Instruct,Personal obligation or necessity being expressed,-0.1,,8,6.497570211582866,6,6
meta-llama/Meta-Llama-3.1-70B-Instruct,Personal obligation or necessity being expressed,0.0,,0,2.4893327609375597,2,2
meta-llama/Meta-Llama-3.1-70B-Instruct,Personal obligation or necessity being expressed,0.0,,1,1.2896268654824001,1,1
meta-llama/Meta-Llama-3.1-70B-Instruct,Personal obligation or necessity being expressed,0.0,,2,4.455773655925545,4,4
meta-llama/Meta-Llama-3.1-70B-Instruct,Personal obligation or necessity being expressed,0.0,,3,1.215269238380271,1,1
meta-llama/Meta-Llama-3.1-70B-Instruct,Personal obligation or necessity being expressed,0.0,,4,3.596951467266684,4,4
meta-llama/Meta-Llama-3.1-70B-Instruct,Personal obligation or necessity being expressed,0.0,,5,1.0296054437163156,1,1
meta-llama/Meta-Llama-3.1-70B-Instruct,Personal obligation or necessity being expressed,0.0,,6,6.184293286239697,6,6
