base,feature,steerage,persona,question,mean_score,score,text
meta-llama/Meta-Llama-3.1-70B-Instruct,Obligation or requirement in instructions,-0.5,,0,2.3324084828183946,2,2
meta-llama/Meta-Llama-3.1-70B-Instruct,Obligation or requirement in instructions,-0.5,,1,1.0692747725876475,1,1
meta-llama/Meta-Llama-3.1-70B-Instruct,Obligation or requirement in instructions,-0.5,,2,5.146900341267192,6,6
meta-llama/Meta-Llama-3.1-70B-Instruct,Obligation or requirement in instructions,-0.5,,3,1.2611430896703222,1,1
meta-llama/Meta-Llama-3.1-70B-Instruct,Obligation or requirement in instructions,-0.5,,4,2.9614860074154716,2,2
meta-llama/Meta-Llama-3.1-70B-Instruct,Obligation or requirement in instructions,-0.5,,5,1.0172123867276273,1,1
meta-llama/Meta-Llama-3.1-70B-Instruct,Obligation or requirement in instructions,-0.5,,6,5.902015652218951,6,6
meta-llama/Meta-Llama-3.1-70B-Instruct,Obligation or requirement in instructions,-0.5,,7,4.592784852190901,4,4
meta-llama/Meta-Llama-3.1-70B-Instruct,Obligation or requirement in instructions,-0.5,,8,6.497854777294206,7,7
meta-llama/Meta-Llama-3.1-70B-Instruct,Obligation or requirement in instructions,-0.3,,0,2.3932385137417382,2,2
meta-llama/Meta-Llama-3.1-70B-Instruct,Obligation or requirement in instructions,-0.3,,1,1.1496938768898664,1,1
meta-llama/Meta-Llama-3.1-70B-Instruct,Obligation or requirement in instructions,-0.3,,2,4.801148406194239,4,4
meta-llama/Meta-Llama-3.1-70B-Instruct,Obligation or requirement in instructions,-0.3,,3,1.2894491103217434,1,1
meta-llama/Meta-Llama-3.1-70B-Instruct,Obligation or requirement in instructions,-0.3,,4,3.184460638940077,2,2
meta-llama/Meta-Llama-3.1-70B-Instruct,Obligation or requirement in instructions,-0.3,,5,1.0237510842036561,1,1
meta-llama/Meta-Llama-3.1-70B-Instruct,Obligation or requirement in instructions,-0.3,,6,6.054732396990483,6,6
meta-llama/Meta-Llama-3.1-70B-Instruct,Obligation or requirement in instructions,-0.3,,7,4.666132417479489,4,4
meta-llama/Meta-Llama-3.1-70B-Instruct,Obligation or requirement in instructions,-0.3,,8,6.562178043445205,7,7
meta-llama/Meta-Llama-3.1-70B-Instruct,Obligation or requirement in instructions,-0.2,,0,2.4694550396232287,2,2
meta-llama/Meta-Llama-3.1-70B-Instruct,Obligation or requirement in instructions,-0.2,,1,1.204364906566295,1,1
meta-llama/Meta-Llama-3.1-70B-Instruct,Obligation or requirement in instructions,-0.2,,2,4.624526773560822,4,4
meta-llama/Meta-Llama-3.1-70B-Instruct,Obligation or requirement in instructions,-0.2,,3,1.2926766784015802,1,1
meta-llama/Meta-Llama-3.1-70B-Instruct,Obligation or requirement in instructions,-0.2,,4,3.312837653686063,4,4
meta-llama/Meta-Llama-3.1-70B-Instruct,Obligation or requirement in instructions,-0.2,,5,1.0237955711387785,1,1
meta-llama/Meta-Llama-3.1-70B-Instruct,Obligation or requirement in instructions,-0.2,,6,6.119996243240291,6,6
meta-llama/Meta-Llama-3.1-70B-Instruct,Obligation or requirement in instructions,-0.2,,7,4.660832647310806,4,4
meta-llama/Meta-Llama-3.1-70B-Instruct,Obligation or requirement in instructions,-0.2,,8,6.541847398694354,7,7
meta-llama/Meta-Llama-3.1-70B-Instruct,Obligation or requirement in instructions,-0.1,,0,2.481777825337535,2,2
meta-llama/Meta-Llama-3.1-70B-Instruct,Obligation or requirement in instructions,-0.1,,1,1.257772057807598,1,1
meta-llama/Meta-Llama-3.1-70B-Instruct,Obligation or requirement in instructions,-0.1,,2,4.544992693622951,4,4
meta-llama/Meta-Llama-3.1-70B-Instruct,Obligation or requirement in instructions,-0.1,,3,1.2572460449746383,1,1
meta-llama/Meta-Llama-3.1-70B-Instruct,Obligation or requirement in instructions,-0.1,,4,3.4955997734477564,4,4
meta-llama/Meta-Llama-3.1-70B-Instruct,Obligation or requirement in instructions,-0.1,,5,1.0275985560774465,1,1
meta-llama/Meta-Llama-3.1-70B-Instruct,Obligation or requirement in instructions,-0.1,,6,6.173842056871517,6,6
meta-llama/Meta-Llama-3.1-70B-Instruct,Obligation or requirement in instructions,-0.1,,7,4.684638464158295,4,4
meta-llama/Meta-Llama-3.1-70B-Instruct,Obligation or requirement in instructions,-0.1,,8,6.542803251471267,7,7
meta-llama/Meta-Llama-3.1-70B-Instruct,Obligation or requirement in instructions,0.0,,0,2.4893327609375597,2,2
meta-llama/Meta-Llama-3.1-70B-Instruct,Obligation or requirement in instructions,0.0,,1,1.2896268654824001,1,1
meta-llama/Meta-Llama-3.1-70B-Instruct,Obligation or requirement in instructions,0.0,,2,4.455773655925545,4,4
meta-llama/Meta-Llama-3.1-70B-Instruct,Obligation or requirement in instructions,0.0,,3,1.215269238380271,1,1
meta-llama/Meta-Llama-3.1-70B-Instruct,Obligation or requirement in instructions,0.0,,4,3.596951467266684,4,4
meta-llama/Meta-Llama-3.1-70B-Instruct,Obligation or requirement in instructions,0.0,,5,1.0296054437163156,1,1
meta-llama/Meta-Llama-3.1-70B-Instruct,Obligation or requirement in instructions,0.0,,6,6.184293286239697,6,6
meta-llama/Meta-Llama-3.1-70B-Instruct,Obligation or requirement in instructions,0.0,,7,4.682197639971171,4,4
meta-llama/Meta-Llama-3.1-70B-Instruct,Obligation or requirement in instructions,0.0,,8,6.51859562000638,7,7
meta-llama/Meta-Llama-3.1-70B-Instruct,Obligation or requirement in instructions,0.1,,0,2.4817392002169805,2,2
meta-llama/Meta-Llama-3.1-70B-Instruct,Obligation or requirement in instructions,0.1,,1,1.3371838553861224,1,1
meta-llama/Meta-Llama-3.1-70B-Instruct,Obligation or requirement in instructions,0.1,,2,4.3764951126823295,4,4
meta-llama/Meta-Llama-3.1-70B-Instruct,Obligation or requirement in instructions,0.1,,3,1.208067900795933,1,1
meta-llama/Meta-Llama-3.1-70B-Instruct,Obligation or requirement in instructions,0.1,,4,3.6193820595482777,4,4
meta-llama/Meta-Llama-3.1-70B-Instruct,Obligation or requirement in instructions,0.1,,5,1.031542467401154,1,1
meta-llama/Meta-Llama-3.1-70B-Instruct,Obligation or requirement in instructions,0.1,,6,6.207296934237667,6,6
meta-llama/Meta-Llama-3.1-70B-Instruct,Obligation or requirement in instructions,0.1,,7,4.820486546847166,4,4
meta-llama/Meta-Llama-3.1-70B-Instruct,Obligation or requirement in instructions,0.1,,8,6.477549931961981,7,7
meta-llama/Meta-Llama-3.1-70B-Instruct,Obligation or requirement in instructions,0.2,,0,2.4918286947397514,2,2
meta-llama/Meta-Llama-3.1-70B-Instruct,Obligation or requirement in instructions,0.2,,1,1.3312171383787483,1,1
meta-llama/Meta-Llama-3.1-70B-Instruct,Obligation or requirement in instructions,0.2,,2,4.406143812605155,4,4
meta-llama/Meta-Llama-3.1-70B-Instruct,Obligation or requirement in instructions,0.2,,3,1.2047733285050406,1,1
meta-llama/Meta-Llama-3.1-70B-Instruct,Obligation or requirement in instructions,0.2,,4,3.7986844624424876,4,4
meta-llama/Meta-Llama-3.1-70B-Instruct,Obligation or requirement in instructions,0.2,,5,1.0459112064494573,1,1
meta-llama/Meta-Llama-3.1-70B-Instruct,Obligation or requirement in instructions,0.2,,6,6.241348835549738,6,6
meta-llama/Meta-Llama-3.1-70B-Instruct,Obligation or requirement in instructions,0.2,,7,4.878037172833062,4,4
meta-llama/Meta-Llama-3.1-70B-Instruct,Obligation or requirement in instructions,0.2,,8,6.484615159415442,7,7
meta-llama/Meta-Llama-3.1-70B-Instruct,Obligation or requirement in instructions,0.3,,0,2.5472214752613955,2,2
meta-llama/Meta-Llama-3.1-70B-Instruct,Obligation or requirement in instructions,0.3,,1,1.3715331303012865,1,1
meta-llama/Meta-Llama-3.1-70B-Instruct,Obligation or requirement in instructions,0.3,,2,4.439159187514895,4,4
meta-llama/Meta-Llama-3.1-70B-Instruct,Obligation or requirement in instructions,0.3,,3,1.252132247247948,1,1
meta-llama/Meta-Llama-3.1-70B-Instruct,Obligation or requirement in instructions,0.3,,4,4.0629610317305,4,4
meta-llama/Meta-Llama-3.1-70B-Instruct,Obligation or requirement in instructions,0.3,,5,1.0640413551390893,1,1
meta-llama/Meta-Llama-3.1-70B-Instruct,Obligation or requirement in instructions,0.3,,6,6.240966182680489,6,6
meta-llama/Meta-Llama-3.1-70B-Instruct,Obligation or requirement in instructions,0.3,,7,4.956877691927494,4,4
meta-llama/Meta-Llama-3.1-70B-Instruct,Obligation or requirement in instructions,0.3,,8,6.407542891231766,7,7
meta-llama/Meta-Llama-3.1-70B-Instruct,Obligation or requirement in instructions,0.5,,0,3.048545102558217,2,2
meta-llama/Meta-Llama-3.1-70B-Instruct,Obligation or requirement in instructions,0.5,,1,1.5510674361746475,1,1
meta-llama/Meta-Llama-3.1-70B-Instruct,Obligation or requirement in instructions,0.5,,2,4.646447795329052,4,4
meta-llama/Meta-Llama-3.1-70B-Instruct,Obligation or requirement in instructions,0.5,,3,1.5370326535264698,1,1
meta-llama/Meta-Llama-3.1-70B-Instruct,Obligation or requirement in instructions,0.5,,4,4.879042527102078,7,7
meta-llama/Meta-Llama-3.1-70B-Instruct,Obligation or requirement in instructions,0.5,,5,1.1558645686149822,1,1
meta-llama/Meta-Llama-3.1-70B-Instruct,Obligation or requirement in instructions,0.5,,6,6.34015584081404,6,6
meta-llama/Meta-Llama-3.1-70B-Instruct,Obligation or requirement in instructions,0.5,,7,5.277449239678045,4,4
meta-llama/Meta-Llama-3.1-70B-Instruct,Obligation or requirement in instructions,0.5,,8,6.40454530217795,7,7
meta-llama/Meta-Llama-3.1-70B-Instruct,"Expressions of obligation or requirement (must, need to, have to)",-0.5,,0,6.083237718834307,7,7
meta-llama/Meta-Llama-3.1-70B-Instruct,"Expressions of obligation or requirement (must, need to, have to)",-0.5,,1,3.646744169921749,2,2
meta-llama/Meta-Llama-3.1-70B-Instruct,"Expressions of obligation or requirement (must, need to, have to)",-0.5,,2,6.888329625447339,7,7
meta-llama/Meta-Llama-3.1-70B-Instruct,"Expressions of obligation or requirement (must, need to, have to)",-0.5,,3,1.6865494351974903,1,1
meta-llama/Meta-Llama-3.1-70B-Instruct,"Expressions of obligation or requirement (must, need to, have to)",-0.5,,4,6.363101545448822,7,7
meta-llama/Meta-Llama-3.1-70B-Instruct,"Expressions of obligation or requirement (must, need to, have to)",-0.5,,5,3.704194774191751,1,1
meta-llama/Meta-Llama-3.1-70B-Instruct,"Expressions of obligation or requirement (must, need to, have to)",-0.5,,6,6.745445205038727,7,7
meta-llama/Meta-Llama-3.1-70B-Instruct,"Expressions of obligation or requirement (must, need to, have to)",-0.5,,7,6.331737154388509,7,7
meta-llama/Meta-Llama-3.1-70B-Instruct,"Expressions of obligation or requirement (must, need to, have to)",-0.5,,8,6.945582401561567,7,7
meta-llama/Meta-Llama-3.1-70B-Instruct,"Expressions of obligation or requirement (must, need to, have to)",-0.3,,0,4.333203828527104,4,4
meta-llama/Meta-Llama-3.1-70B-Instruct,"Expressions of obligation or requirement (must, need to, have to)",-0.3,,1,2.1845719977587876,2,2
meta-llama/Meta-Llama-3.1-70B-Instruct,"Expressions of obligation or requirement (must, need to, have to)",-0.3,,2,6.454641659699306,6,6
meta-llama/Meta-Llama-3.1-70B-Instruct,"Expressions of obligation or requirement (must, need to, have to)",-0.3,,3,1.3335968217345247,1,1
meta-llama/Meta-Llama-3.1-70B-Instruct,"Expressions of obligation or requirement (must, need to, have to)",-0.3,,4,4.724227320316619,4,4
meta-llama/Meta-Llama-3.1-70B-Instruct,"Expressions of obligation or requirement (must, need to, have to)",-0.3,,5,1.4223479187327768,1,1
meta-llama/Meta-Llama-3.1-70B-Instruct,"Expressions of obligation or requirement (must, need to, have to)",-0.3,,6,6.440269570798132,6,6
meta-llama/Meta-Llama-3.1-70B-Instruct,"Expressions of obligation or requirement (must, need to, have to)",-0.3,,7,5.508736021473405,4,4
meta-llama/Meta-Llama-3.1-70B-Instruct,"Expressions of obligation or requirement (must, need to, have to)",-0.3,,8,6.8312420331199615,7,7
meta-llama/Meta-Llama-3.1-70B-Instruct,"Expressions of obligation or requirement (must, need to, have to)",-0.2,,0,3.4147295632797197,4,4
meta-llama/Meta-Llama-3.1-70B-Instruct,"Expressions of obligation or requirement (must, need to, have to)",-0.2,,1,1.7396989148433497,1,1
meta-llama/Meta-Llama-3.1-70B-Instruct,"Expressions of obligation or requirement (must, need to, have to)",-0.2,,2,6.012678088805956,6,6
meta-llama/Meta-Llama-3.1-70B-Instruct,"Expressions of obligation or requirement (must, need to, have to)",-0.2,,3,1.2492172556508703,1,1
meta-llama/Meta-Llama-3.1-70B-Instruct,"Expressions of obligation or requirement (must, need to, have to)",-0.2,,4,4.195255839550938,4,4
meta-llama/Meta-Llama-3.1-70B-Instruct,"Expressions of obligation or requirement (must, need to, have to)",-0.2,,5,1.1417182953320093,1,1
meta-llama/Meta-Llama-3.1-70B-Instruct,"Expressions of obligation or requirement (must, need to, have to)",-0.2,,6,6.3815659572361385,6,6
meta-llama/Meta-Llama-3.1-70B-Instruct,"Expressions of obligation or requirement (must, need to, have to)",-0.2,,7,5.22420135845549,4,4
meta-llama/Meta-Llama-3.1-70B-Instruct,"Expressions of obligation or requirement (must, need to, have to)",-0.2,,8,6.717639648352515,7,7
meta-llama/Meta-Llama-3.1-70B-Instruct,"Expressions of obligation or requirement (must, need to, have to)",-0.1,,0,2.7793697701554967,2,2
meta-llama/Meta-Llama-3.1-70B-Instruct,"Expressions of obligation or requirement (must, need to, have to)",-0.1,,1,1.4304769571373186,1,1
meta-llama/Meta-Llama-3.1-70B-Instruct,"Expressions of obligation or requirement (must, need to, have to)",-0.1,,2,5.359548841580306,6,6
meta-llama/Meta-Llama-3.1-70B-Instruct,"Expressions of obligation or requirement (must, need to, have to)",-0.1,,3,1.234089078840126,1,1
meta-llama/Meta-Llama-3.1-70B-Instruct,"Expressions of obligation or requirement (must, need to, have to)",-0.1,,4,3.8351372346117607,4,4
meta-llama/Meta-Llama-3.1-70B-Instruct,"Expressions of obligation or requirement (must, need to, have to)",-0.1,,5,1.0528530872177937,1,1
meta-llama/Meta-Llama-3.1-70B-Instruct,"Expressions of obligation or requirement (must, need to, have to)",-0.1,,6,6.280904607301286,6,6
meta-llama/Meta-Llama-3.1-70B-Instruct,"Expressions of obligation or requirement (must, need to, have to)",-0.1,,7,4.978049123101864,4,4
meta-llama/Meta-Llama-3.1-70B-Instruct,"Expressions of obligation or requirement (must, need to, have to)",-0.1,,8,6.6453356023687284,7,7
meta-llama/Meta-Llama-3.1-70B-Instruct,"Expressions of obligation or requirement (must, need to, have to)",0.0,,0,2.4893327609375597,2,2
meta-llama/Meta-Llama-3.1-70B-Instruct,"Expressions of obligation or requirement (must, need to, have to)",0.0,,1,1.2896268654824001,1,1
meta-llama/Meta-Llama-3.1-70B-Instruct,"Expressions of obligation or requirement (must, need to, have to)",0.0,,2,4.455773655925545,4,4
meta-llama/Meta-Llama-3.1-70B-Instruct,"Expressions of obligation or requirement (must, need to, have to)",0.0,,3,1.215269238380271,1,1
meta-llama/Meta-Llama-3.1-70B-Instruct,"Expressions of obligation or requirement (must, need to, have to)",0.0,,4,3.596951467266684,4,4
meta-llama/Meta-Llama-3.1-70B-Instruct,"Expressions of obligation or requirement (must, need to, have to)",0.0,,5,1.0296054437163156,1,1
meta-llama/Meta-Llama-3.1-70B-Instruct,"Expressions of obligation or requirement (must, need to, have to)",0.0,,6,6.184293286239697,6,6
meta-llama/Meta-Llama-3.1-70B-Instruct,"Expressions of obligation or requirement (must, need to, have to)",0.0,,7,4.682197639971171,4,4
meta-llama/Meta-Llama-3.1-70B-Instruct,"Expressions of obligation or requirement (must, need to, have to)",0.0,,8,6.51859562000638,7,7
meta-llama/Meta-Llama-3.1-70B-Instruct,"Expressions of obligation or requirement (must, need to, have to)",0.1,,0,2.3018236453994767,2,2
meta-llama/Meta-Llama-3.1-70B-Instruct,"Expressions of obligation or requirement (must, need to, have to)",0.1,,1,1.2512271513268043,1,1
meta-llama/Meta-Llama-3.1-70B-Instruct,"Expressions of obligation or requirement (must, need to, have to)",0.1,,2,3.6198409599735033,4,4
meta-llama/Meta-Llama-3.1-70B-Instruct,"Expressions of obligation or requirement (must, need to, have to)",0.1,,3,1.2244136768854323,1,1
meta-llama/Meta-Llama-3.1-70B-Instruct,"Expressions of obligation or requirement (must, need to, have to)",0.1,,4,3.3727998495627194,4,4
meta-llama/Meta-Llama-3.1-70B-Instruct,"Expressions of obligation or requirement (must, need to, have to)",0.1,,5,1.0313338311913993,1,1
meta-llama/Meta-Llama-3.1-70B-Instruct,"Expressions of obligation or requirement (must, need to, have to)",0.1,,6,6.023419425799546,6,6
meta-llama/Meta-Llama-3.1-70B-Instruct,"Expressions of obligation or requirement (must, need to, have to)",0.1,,7,4.583935449188449,4,4
meta-llama/Meta-Llama-3.1-70B-Instruct,"Expressions of obligation or requirement (must, need to, have to)",0.1,,8,6.395495088795403,7,7
meta-llama/Meta-Llama-3.1-70B-Instruct,"Expressions of obligation or requirement (must, need to, have to)",0.2,,0,2.1284233985693364,2,2
meta-llama/Meta-Llama-3.1-70B-Instruct,"Expressions of obligation or requirement (must, need to, have to)",0.2,,1,1.2707332924740802,1,1
meta-llama/Meta-Llama-3.1-70B-Instruct,"Expressions of obligation or requirement (must, need to, have to)",0.2,,2,2.868760423764918,2,2
meta-llama/Meta-Llama-3.1-70B-Instruct,"Expressions of obligation or requirement (must, need to, have to)",0.2,,3,1.2728335192029347,1,1
meta-llama/Meta-Llama-3.1-70B-Instruct,"Expressions of obligation or requirement (must, need to, have to)",0.2,,4,3.2085702567205643,4,4
meta-llama/Meta-Llama-3.1-70B-Instruct,"Expressions of obligation or requirement (must, need to, have to)",0.2,,5,1.0350572643761011,1,1
meta-llama/Meta-Llama-3.1-70B-Instruct,"Expressions of obligation or requirement (must, need to, have to)",0.2,,6,5.7527783707872455,6,6
meta-llama/Meta-Llama-3.1-70B-Instruct,"Expressions of obligation or requirement (must, need to, have to)",0.2,,7,4.499399479191684,4,4
meta-llama/Meta-Llama-3.1-70B-Instruct,"Expressions of obligation or requirement (must, need to, have to)",0.2,,8,6.223354674453813,7,7
meta-llama/Meta-Llama-3.1-70B-Instruct,"Expressions of obligation or requirement (must, need to, have to)",0.3,,0,2.157253603860407,2,2
meta-llama/Meta-Llama-3.1-70B-Instruct,"Expressions of obligation or requirement (must, need to, have to)",0.3,,1,1.6296425263053993,1,1
meta-llama/Meta-Llama-3.1-70B-Instruct,"Expressions of obligation or requirement (must, need to, have to)",0.3,,2,2.465498211807393,2,2
meta-llama/Meta-Llama-3.1-70B-Instruct,"Expressions of obligation or requirement (must, need to, have to)",0.3,,3,1.509449345380454,1,1
meta-llama/Meta-Llama-3.1-70B-Instruct,"Expressions of obligation or requirement (must, need to, have to)",0.3,,4,3.076992256304055,4,4
meta-llama/Meta-Llama-3.1-70B-Instruct,"Expressions of obligation or requirement (must, need to, have to)",0.3,,5,1.0577655557148828,1,1
meta-llama/Meta-Llama-3.1-70B-Instruct,"Expressions of obligation or requirement (must, need to, have to)",0.3,,6,5.447621304538889,6,6
meta-llama/Meta-Llama-3.1-70B-Instruct,"Expressions of obligation or requirement (must, need to, have to)",0.3,,7,4.527725120236508,4,4
meta-llama/Meta-Llama-3.1-70B-Instruct,"Expressions of obligation or requirement (must, need to, have to)",0.3,,8,5.974219197947716,7,7
meta-llama/Meta-Llama-3.1-70B-Instruct,"Expressions of obligation or requirement (must, need to, have to)",0.5,,0,3.5165994279890604,4,4
meta-llama/Meta-Llama-3.1-70B-Instruct,"Expressions of obligation or requirement (must, need to, have to)",0.5,,1,5.318203702056289,4,4
meta-llama/Meta-Llama-3.1-70B-Instruct,"Expressions of obligation or requirement (must, need to, have to)",0.5,,2,3.302370814158263,2,2
meta-llama/Meta-Llama-3.1-70B-Instruct,"Expressions of obligation or requirement (must, need to, have to)",0.5,,3,5.527107483897772,4,4
meta-llama/Meta-Llama-3.1-70B-Instruct,"Expressions of obligation or requirement (must, need to, have to)",0.5,,4,4.2666027715292385,6,6
meta-llama/Meta-Llama-3.1-70B-Instruct,"Expressions of obligation or requirement (must, need to, have to)",0.5,,5,4.44980151552218,1,1
meta-llama/Meta-Llama-3.1-70B-Instruct,"Expressions of obligation or requirement (must, need to, have to)",0.5,,6,5.508694970845308,6,6
meta-llama/Meta-Llama-3.1-70B-Instruct,"Expressions of obligation or requirement (must, need to, have to)",0.5,,7,5.02928663210682,4,4
meta-llama/Meta-Llama-3.1-70B-Instruct,"Expressions of obligation or requirement (must, need to, have to)",0.5,,8,6.098090183583869,7,7
meta-llama/Meta-Llama-3.1-70B-Instruct,Taking necessary action or responsibility,-0.5,,0,3.5788095055251308,4,4
meta-llama/Meta-Llama-3.1-70B-Instruct,Taking necessary action or responsibility,-0.5,,1,3.5546943920989036,2,2
meta-llama/Meta-Llama-3.1-70B-Instruct,Taking necessary action or responsibility,-0.5,,2,5.963232718129601,6,6
meta-llama/Meta-Llama-3.1-70B-Instruct,Taking necessary action or responsibility,-0.5,,3,2.5090139038282357,2,2
meta-llama/Meta-Llama-3.1-70B-Instruct,Taking necessary action or responsibility,-0.5,,4,5.907463054685149,6,6
meta-llama/Meta-Llama-3.1-70B-Instruct,Taking necessary action or responsibility,-0.5,,5,2.460321334642336,2,2
meta-llama/Meta-Llama-3.1-70B-Instruct,Taking necessary action or responsibility,-0.5,,6,6.158974996770736,6,6
meta-llama/Meta-Llama-3.1-70B-Instruct,Taking necessary action or responsibility,-0.5,,7,5.014262852903061,5,5
meta-llama/Meta-Llama-3.1-70B-Instruct,Taking necessary action or responsibility,-0.5,,8,6.611279704109195,7,7
meta-llama/Meta-Llama-3.1-70B-Instruct,Taking necessary action or responsibility,-0.3,,0,3.1162255207063962,2,2
meta-llama/Meta-Llama-3.1-70B-Instruct,Taking necessary action or responsibility,-0.3,,1,2.4498696560409345,2,2
meta-llama/Meta-Llama-3.1-70B-Instruct,Taking necessary action or responsibility,-0.3,,2,5.763364893636465,6,6
meta-llama/Meta-Llama-3.1-70B-Instruct,Taking necessary action or responsibility,-0.3,,3,1.9182741803144656,1,1
meta-llama/Meta-Llama-3.1-70B-Instruct,Taking necessary action or responsibility,-0.3,,4,5.226799349179165,6,6
meta-llama/Meta-Llama-3.1-70B-Instruct,Taking necessary action or responsibility,-0.3,,5,1.2874803106213588,1,1
meta-llama/Meta-Llama-3.1-70B-Instruct,Taking necessary action or responsibility,-0.3,,6,6.227713258280606,6,6
meta-llama/Meta-Llama-3.1-70B-Instruct,Taking necessary action or responsibility,-0.3,,7,4.865594707850877,4,4
meta-llama/Meta-Llama-3.1-70B-Instruct,Taking necessary action or responsibility,-0.3,,8,6.63040761103398,7,7
meta-llama/Meta-Llama-3.1-70B-Instruct,Taking necessary action or responsibility,-0.2,,0,2.909457890593052,2,2
meta-llama/Meta-Llama-3.1-70B-Instruct,Taking necessary action or responsibility,-0.2,,1,2.025832209296735,1,1
meta-llama/Meta-Llama-3.1-70B-Instruct,Taking necessary action or responsibility,-0.2,,2,5.394454519039762,6,6
meta-llama/Meta-Llama-3.1-70B-Instruct,Taking necessary action or responsibility,-0.2,,3,1.5769364832896766,1,1
meta-llama/Meta-Llama-3.1-70B-Instruct,Taking necessary action or responsibility,-0.2,,4,4.625341330653457,4,4
meta-llama/Meta-Llama-3.1-70B-Instruct,Taking necessary action or responsibility,-0.2,,5,1.0864412604467608,1,1
meta-llama/Meta-Llama-3.1-70B-Instruct,Taking necessary action or responsibility,-0.2,,6,6.2499749946877365,6,6
meta-llama/Meta-Llama-3.1-70B-Instruct,Taking necessary action or responsibility,-0.2,,7,4.836611424221872,4,4
meta-llama/Meta-Llama-3.1-70B-Instruct,Taking necessary action or responsibility,-0.2,,8,6.615962587731066,7,7
meta-llama/Meta-Llama-3.1-70B-Instruct,Taking necessary action or responsibility,-0.1,,0,2.6973076262745996,2,2
meta-llama/Meta-Llama-3.1-70B-Instruct,Taking necessary action or responsibility,-0.1,,1,1.5854198126288328,1,1
meta-llama/Meta-Llama-3.1-70B-Instruct,Taking necessary action or responsibility,-0.1,,2,5.021655566994585,4,4
meta-llama/Meta-Llama-3.1-70B-Instruct,Taking necessary action or responsibility,-0.1,,3,1.3396132736938708,1,1
