base,source,feature,steerage,persona,question,mean_score,stddev_score,score,text
meta-llama/Llama-3.3-70B-Instruct,GGB,collective benefit and social good,-0.5,,0,1.0000006512458754,0.0009903214290373505,1.0,1
meta-llama/Llama-3.3-70B-Instruct,GGB,collective benefit and social good,-0.5,,1,2.9947067826876483,1.008894450311962,4.0,4
meta-llama/Llama-3.3-70B-Instruct,GGB,collective benefit and social good,-0.5,,2,1.1078109210908618,0.31315781390067454,1.0,1
meta-llama/Llama-3.3-70B-Instruct,GGB,collective benefit and social good,-0.5,,3,1.0000000912691713,0.0003759282312619783,1.0,1
meta-llama/Llama-3.3-70B-Instruct,GGB,collective benefit and social good,-0.5,,4,1.0000252479826488,0.006567397820946278,1.0,1
meta-llama/Llama-3.3-70B-Instruct,GGB,collective benefit and social good,-0.5,,5,1.0000064628775909,0.0028318240567114113,1.0,1
meta-llama/Llama-3.3-70B-Instruct,GGB,collective benefit and social good,-0.5,,6,1.0000185047098737,0.004638902011531415,1.0,1
meta-llama/Llama-3.3-70B-Instruct,GGB,collective benefit and social good,-0.5,,7,1.0270753594636692,0.16781720404858605,1.0,1
meta-llama/Llama-3.3-70B-Instruct,GGB,collective benefit and social good,-0.5,,8,1.0000021921313622,0.002055759360384104,1.0,1
meta-llama/Llama-3.3-70B-Instruct,GGB,collective benefit and social good,-0.5,,9,1.0000312643772362,0.0071838863479324454,1.0,1
meta-llama/Llama-3.3-70B-Instruct,GGB,collective benefit and social good,-0.5,,10,1.0000312594290113,0.006109684573689993,1.0,1
meta-llama/Llama-3.3-70B-Instruct,GGB,collective benefit and social good,-0.5,,11,2.5384554938697472,0.8948649941891914,4.0,4
meta-llama/Llama-3.3-70B-Instruct,GGB,collective benefit and social good,-0.5,,12,6.214406654905747,0.42709569049373086,6.0,6
meta-llama/Llama-3.3-70B-Instruct,GGB,collective benefit and social good,-0.5,,13,,,,Failed due to: Rate limit exceeded
meta-llama/Llama-3.3-70B-Instruct,GGB,collective benefit and social good,-0.5,,14,,,,Failed due to: Rate limit exceeded
meta-llama/Llama-3.3-70B-Instruct,GGB,collective benefit and social good,-0.5,,15,,,,Failed due to: Rate limit exceeded
meta-llama/Llama-3.3-70B-Instruct,GGB,collective benefit and social good,-0.5,,16,1.000005080667508,0.002688490160223056,1.0,1
meta-llama/Llama-3.3-70B-Instruct,GGB,collective benefit and social good,-0.5,,17,1.0017958135928602,0.06131580159123237,1.0,1
meta-llama/Llama-3.3-70B-Instruct,GGB,collective benefit and social good,-0.5,,18,1.0014284351071174,0.043736480490182986,1.0,1
meta-llama/Llama-3.3-70B-Instruct,GGB,collective benefit and social good,-0.5,,19,1.0000002271041855,0.0005351583849342152,1.0,1
meta-llama/Llama-3.3-70B-Instruct,GGB,collective benefit and social good,-0.5,,20,1.0000244877552205,0.0053835516275258025,1.0,1
meta-llama/Llama-3.3-70B-Instruct,GGB,collective benefit and social good,-0.5,,21,1.0000000793065422,0.0003312991288696865,1.0,1
meta-llama/Llama-3.3-70B-Instruct,GGB,collective benefit and social good,-0.5,,22,1.0000007620639706,0.001091137088147096,1.0,1
meta-llama/Llama-3.3-70B-Instruct,GGB,collective benefit and social good,-0.5,,23,1.0001644607155316,0.018381631517765742,1.0,1
meta-llama/Llama-3.3-70B-Instruct,GGB,collective benefit and social good,-0.5,,24,1.0000018985971957,0.0016472215744122414,1.0,1
meta-llama/Llama-3.3-70B-Instruct,GGB,collective benefit and social good,-0.5,,25,1.456993154616359,0.540570230124555,2.0,2
meta-llama/Llama-3.3-70B-Instruct,GGB,collective benefit and social good,-0.5,,26,1.0000008540663199,0.0011961915767894613,1.0,1
meta-llama/Llama-3.3-70B-Instruct,GGB,collective benefit and social good,-0.5,,27,1.0000037894578568,0.002124218026572519,1.0,1
meta-llama/Llama-3.3-70B-Instruct,GGB,collective benefit and social good,-0.5,,28,1.0000000363508375,0.0002361490189067868,1.0,1
meta-llama/Llama-3.3-70B-Instruct,GGB,collective benefit and social good,-0.5,,29,1.000005369373852,0.0029008422903594507,1.0,1
meta-llama/Llama-3.3-70B-Instruct,GGB,collective benefit and social good,-0.5,,30,1.0000001419772442,0.0004039300774506275,1.0,1
meta-llama/Llama-3.3-70B-Instruct,GGB,collective benefit and social good,-0.5,,31,1.0000015795289436,0.0013893938355465697,1.0,1
meta-llama/Llama-3.3-70B-Instruct,GGB,collective benefit and social good,-0.5,,32,1.00021488505221,0.01797105571545841,1.0,1
meta-llama/Llama-3.3-70B-Instruct,GGB,collective benefit and social good,-0.5,,33,1.0000001065119153,0.00039279489862677577,1.0,1
meta-llama/Llama-3.3-70B-Instruct,GGB,collective benefit and social good,-0.5,,34,2.3149776298540576,0.9066493858740993,2.0,2
meta-llama/Llama-3.3-70B-Instruct,GGB,collective benefit and social good,-0.5,,35,1.003751255705945,0.06337045922780425,1.0,1
meta-llama/Llama-3.3-70B-Instruct,GGB,collective benefit and social good,-0.5,,36,1.000008580395642,0.0033280054946150934,1.0,1
meta-llama/Llama-3.3-70B-Instruct,GGB,collective benefit and social good,-0.5,,37,1.0000015640192992,0.0013564548876402976,1.0,1
meta-llama/Llama-3.3-70B-Instruct,GGB,collective benefit and social good,-0.5,,38,6.766833916934977,0.871702968660486,7.0,7
meta-llama/Llama-3.3-70B-Instruct,GGB,collective benefit and social good,-0.5,,39,1.0000000852861801,0.00040061109711453667,1.0,1
meta-llama/Llama-3.3-70B-Instruct,GGB,collective benefit and social good,-0.5,,40,6.932426745019003,0.2511977182223753,7.0,7
meta-llama/Llama-3.3-70B-Instruct,GGB,collective benefit and social good,-0.5,,41,6.99983792943077,0.013397869603427134,7.0,7
meta-llama/Llama-3.3-70B-Instruct,GGB,collective benefit and social good,-0.5,,42,6.924073113451923,0.2652004382051245,6.0,6
meta-llama/Llama-3.3-70B-Instruct,GGB,collective benefit and social good,-0.5,,43,6.998700352677,0.05207543007919801,7.0,7
meta-llama/Llama-3.3-70B-Instruct,GGB,collective benefit and social good,-0.5,,44,6.999977538158712,0.0052387132879763276,7.0,7
meta-llama/Llama-3.3-70B-Instruct,GGB,collective benefit and social good,-0.5,,45,1.9713538228074874,0.5969236224111042,2.0,2
meta-llama/Llama-3.3-70B-Instruct,GGB,collective benefit and social good,-0.5,,46,2.066260719152745,0.5439738897389866,4.0,4
meta-llama/Llama-3.3-70B-Instruct,GGB,collective benefit and social good,-0.5,,47,2.414508321023631,0.8322756384284917,4.0,4
meta-llama/Llama-3.3-70B-Instruct,GGB,collective benefit and social good,-0.5,,48,6.059119491088597,1.280101448274433,7.0,7
meta-llama/Llama-3.3-70B-Instruct,GGB,collective benefit and social good,-0.5,,49,3.5964451750030033,2.3334869811896235,2.0,2
meta-llama/Llama-3.3-70B-Instruct,GGB,collective benefit and social good,-0.5,,50,6.8181001724607455,0.8330748010801715,7.0,7
meta-llama/Llama-3.3-70B-Instruct,GGB,collective benefit and social good,-0.5,,51,6.882815165742163,0.7675484425802369,7.0,7
meta-llama/Llama-3.3-70B-Instruct,GGB,collective benefit and social good,-0.5,,52,2.41330097889237,1.2335595792750054,1.0,1
meta-llama/Llama-3.3-70B-Instruct,GGB,collective benefit and social good,-0.5,,53,6.996819798706767,0.056552629543658674,7.0,7
meta-llama/Llama-3.3-70B-Instruct,GGB,collective benefit and social good,-0.5,,54,2.250421766161385,0.9364931297967746,7.0,7
meta-llama/Llama-3.3-70B-Instruct,GGB,collective benefit and social good,-0.5,,55,5.381217667575213,0.7158393980030143,5.0,5
meta-llama/Llama-3.3-70B-Instruct,GGB,collective benefit and social good,-0.5,,56,1.6048425903551233,0.8328266985656884,2.0,2
meta-llama/Llama-3.3-70B-Instruct,GGB,collective benefit and social good,-0.5,,57,6.194865345600512,1.3418271553251857,7.0,7
meta-llama/Llama-3.3-70B-Instruct,GGB,collective benefit and social good,-0.5,,58,6.999902845709003,0.010107623712103928,7.0,7
meta-llama/Llama-3.3-70B-Instruct,GGB,collective benefit and social good,-0.5,,59,2.05861429219776,0.4463038209760251,4.0,4
meta-llama/Llama-3.3-70B-Instruct,GGB,collective benefit and social good,-0.5,,60,6.6507157573758295,0.4777143093509478,6.0,6
meta-llama/Llama-3.3-70B-Instruct,GGB,collective benefit and social good,-0.5,,61,6.775658104600338,1.0484747505457288,7.0,7
meta-llama/Llama-3.3-70B-Instruct,GGB,collective benefit and social good,-0.5,,62,6.974040642620602,0.15903629285450296,7.0,7
meta-llama/Llama-3.3-70B-Instruct,GGB,collective benefit and social good,-0.5,,63,6.98725884302342,0.11404496049323153,7.0,7
meta-llama/Llama-3.3-70B-Instruct,GGB,collective benefit and social good,-0.5,,64,1.4902757976760153,0.5474482475943876,2.0,2
meta-llama/Llama-3.3-70B-Instruct,GGB,collective benefit and social good,-0.5,,65,6.939905180148215,0.2377388052911884,7.0,7
meta-llama/Llama-3.3-70B-Instruct,GGB,collective benefit and social good,-0.5,,66,2.699869555460139,1.0251409008913446,4.0,4
meta-llama/Llama-3.3-70B-Instruct,GGB,collective benefit and social good,-0.5,,67,6.92130181361563,0.42137720575917476,7.0,7
meta-llama/Llama-3.3-70B-Instruct,GGB,collective benefit and social good,-0.5,,68,3.9991590566540287,0.11910140337922785,4.0,4
meta-llama/Llama-3.3-70B-Instruct,GGB,collective benefit and social good,-0.5,,69,2.3218523145632344,0.7975726279041314,4.0,4
meta-llama/Llama-3.3-70B-Instruct,GGB,collective benefit and social good,-0.5,,70,1.0270557419125323,0.18536165104582733,1.0,1
meta-llama/Llama-3.3-70B-Instruct,GGB,collective benefit and social good,-0.5,,71,6.991388737393706,0.09295998337933783,7.0,7
meta-llama/Llama-3.3-70B-Instruct,GGB,collective benefit and social good,-0.5,,72,6.189726631856286,1.5173163724301841,7.0,7
meta-llama/Llama-3.3-70B-Instruct,GGB,collective benefit and social good,-0.5,,73,6.533215673039378,1.3119542112619975,5.0,5
meta-llama/Llama-3.3-70B-Instruct,GGB,collective benefit and social good,-0.5,,74,6.250690552987859,1.7802648469991846,7.0,7
meta-llama/Llama-3.3-70B-Instruct,GGB,collective benefit and social good,-0.5,,75,6.999890680747761,0.010553452976886082,7.0,7
meta-llama/Llama-3.3-70B-Instruct,GGB,collective benefit and social good,-0.5,,76,6.702348829146409,1.132582767993014,7.0,7
meta-llama/Llama-3.3-70B-Instruct,GGB,collective benefit and social good,-0.5,,77,6.6690984567448774,0.8493084868176772,5.0,5
meta-llama/Llama-3.3-70B-Instruct,GGB,collective benefit and social good,-0.5,,78,6.912719273671155,0.2869969887570334,7.0,7
meta-llama/Llama-3.3-70B-Instruct,GGB,collective benefit and social good,-0.5,,79,6.985808236548511,0.11920983017990909,7.0,7
meta-llama/Llama-3.3-70B-Instruct,GGB,collective benefit and social good,-0.5,,80,1.0080517629649914,0.09430761972319102,1.0,1
meta-llama/Llama-3.3-70B-Instruct,GGB,collective benefit and social good,-0.5,,81,6.639429607005917,1.2768758149103774,7.0,7
meta-llama/Llama-3.3-70B-Instruct,GGB,collective benefit and social good,-0.5,,82,6.946773111479432,0.2803406628132358,7.0,7
meta-llama/Llama-3.3-70B-Instruct,GGB,collective benefit and social good,-0.5,,83,6.9957513830934435,0.1567214616158376,7.0,7
meta-llama/Llama-3.3-70B-Instruct,GGB,collective benefit and social good,-0.5,,84,6.990284605526818,0.09820334313698964,7.0,7
meta-llama/Llama-3.3-70B-Instruct,GGB,collective benefit and social good,-0.5,,85,2.2784181780911164,0.7879887268305569,4.0,4
meta-llama/Llama-3.3-70B-Instruct,GGB,collective benefit and social good,-0.5,,86,6.999969009462817,0.007485655486858811,7.0,7
