base,feature,steerage,question,mean_score,score,text
meta-llama/Meta-Llama-3.1-70B-Instruct,Obligation or requirement in instructions,-1.0,0,1.8125158273772617,1.0,1
meta-llama/Meta-Llama-3.1-70B-Instruct,Obligation or requirement in instructions,-1.0,1,1.0494709309004295,1.0,1
meta-llama/Meta-Llama-3.1-70B-Instruct,Obligation or requirement in instructions,-1.0,2,5.453524583059495,7.0,7
meta-llama/Meta-Llama-3.1-70B-Instruct,Obligation or requirement in instructions,-1.0,3,1.1367171009329589,1.0,1
meta-llama/Meta-Llama-3.1-70B-Instruct,Obligation or requirement in instructions,-1.0,4,2.7908336767847253,2.0,2
meta-llama/Meta-Llama-3.1-70B-Instruct,Obligation or requirement in instructions,-1.0,5,1.0382687390661633,1.0,1
meta-llama/Meta-Llama-3.1-70B-Instruct,Obligation or requirement in instructions,-1.0,6,4.578180827838026,6.0,6
meta-llama/Meta-Llama-3.1-70B-Instruct,Obligation or requirement in instructions,-1.0,7,2.6227875635746454,1.0,1
meta-llama/Meta-Llama-3.1-70B-Instruct,Obligation or requirement in instructions,-1.0,8,6.75968139012841,7.0,7
meta-llama/Meta-Llama-3.1-70B-Instruct,Obligation or requirement in instructions,-0.8,0,2.182071279932451,2.0,2
meta-llama/Meta-Llama-3.1-70B-Instruct,Obligation or requirement in instructions,-0.8,1,1.045415717075451,1.0,1
meta-llama/Meta-Llama-3.1-70B-Instruct,Obligation or requirement in instructions,-0.8,2,6.140144098583884,6.0,6
meta-llama/Meta-Llama-3.1-70B-Instruct,Obligation or requirement in instructions,-0.8,3,1.125609785142383,1.0,1
meta-llama/Meta-Llama-3.1-70B-Instruct,Obligation or requirement in instructions,-0.8,4,2.9346869888070364,2.0,2
meta-llama/Meta-Llama-3.1-70B-Instruct,Obligation or requirement in instructions,-0.8,5,1.0146960641463043,1.0,1
meta-llama/Meta-Llama-3.1-70B-Instruct,Obligation or requirement in instructions,-0.8,6,5.374701025847107,6.0,6
meta-llama/Meta-Llama-3.1-70B-Instruct,Obligation or requirement in instructions,-0.8,7,3.8670180296667507,2.0,2
meta-llama/Meta-Llama-3.1-70B-Instruct,Obligation or requirement in instructions,-0.8,8,6.639147445866279,7.0,7
meta-llama/Meta-Llama-3.1-70B-Instruct,Obligation or requirement in instructions,0.8,0,5.098641485678182,7.0,7
meta-llama/Meta-Llama-3.1-70B-Instruct,Obligation or requirement in instructions,0.8,1,2.684365081760644,1.0,1
meta-llama/Meta-Llama-3.1-70B-Instruct,Obligation or requirement in instructions,0.8,2,5.979084820867964,6.0,6
