base,feature,steerage,question,mean_score,score,text
meta-llama/Meta-Llama-3.1-70B-Instruct,Actions or decisions that benefit collective interests,-1.0,0,4.281694805283996,4.0,4
meta-llama/Meta-Llama-3.1-70B-Instruct,Actions or decisions that benefit collective interests,-1.0,1,2.8413899136432805,2.0,2
meta-llama/Meta-Llama-3.1-70B-Instruct,Actions or decisions that benefit collective interests,-1.0,2,6.451723082457477,7.0,7
meta-llama/Meta-Llama-3.1-70B-Instruct,Actions or decisions that benefit collective interests,-1.0,3,3.6763767956637703,2.0,2
meta-llama/Meta-Llama-3.1-70B-Instruct,Actions or decisions that benefit collective interests,-1.0,4,6.174034701089392,7.0,7
meta-llama/Meta-Llama-3.1-70B-Instruct,Actions or decisions that benefit collective interests,-1.0,5,2.8689898395856908,2.0,2
meta-llama/Meta-Llama-3.1-70B-Instruct,Actions or decisions that benefit collective interests,-1.0,6,6.672655027427358,7.0,7
meta-llama/Meta-Llama-3.1-70B-Instruct,Actions or decisions that benefit collective interests,-1.0,7,5.944564733122329,7.0,7
meta-llama/Meta-Llama-3.1-70B-Instruct,Actions or decisions that benefit collective interests,-1.0,8,6.812326000318716,7.0,7
meta-llama/Meta-Llama-3.1-70B-Instruct,Actions or decisions that benefit collective interests,-0.8,0,3.5811672309523117,4.0,4
meta-llama/Meta-Llama-3.1-70B-Instruct,Actions or decisions that benefit collective interests,-0.8,1,2.140189345034831,1.0,1
meta-llama/Meta-Llama-3.1-70B-Instruct,Actions or decisions that benefit collective interests,-0.8,2,6.110326872086367,6.0,6
meta-llama/Meta-Llama-3.1-70B-Instruct,Actions or decisions that benefit collective interests,-0.8,3,2.2863690571749204,2.0,2
meta-llama/Meta-Llama-3.1-70B-Instruct,Actions or decisions that benefit collective interests,-0.8,4,4.955029276975706,4.0,4
meta-llama/Meta-Llama-3.1-70B-Instruct,Actions or decisions that benefit collective interests,-0.8,5,1.8228440515619315,1.0,1
meta-llama/Meta-Llama-3.1-70B-Instruct,Actions or decisions that benefit collective interests,-0.8,6,6.3451438987325,7.0,7
meta-llama/Meta-Llama-3.1-70B-Instruct,Actions or decisions that benefit collective interests,-0.8,7,5.555342226807774,4.0,4
meta-llama/Meta-Llama-3.1-70B-Instruct,Actions or decisions that benefit collective interests,-0.8,8,6.809144789614466,7.0,7
meta-llama/Meta-Llama-3.1-70B-Instruct,Actions or decisions that benefit collective interests,0.8,0,6.725754897180503,7.0,7
meta-llama/Meta-Llama-3.1-70B-Instruct,Actions or decisions that benefit collective interests,0.8,1,6.737707442236026,7.0,7
meta-llama/Meta-Llama-3.1-70B-Instruct,Actions or decisions that benefit collective interests,0.8,2,6.725716867656951,7.0,7
meta-llama/Meta-Llama-3.1-70B-Instruct,Actions or decisions that benefit collective interests,0.8,3,6.432483425586155,7.0,7
meta-llama/Meta-Llama-3.1-70B-Instruct,Actions or decisions that benefit collective interests,0.8,4,6.946265403939075,7.0,7
meta-llama/Meta-Llama-3.1-70B-Instruct,Actions or decisions that benefit collective interests,0.8,5,6.586262708350096,7.0,7
meta-llama/Meta-Llama-3.1-70B-Instruct,Actions or decisions that benefit collective interests,0.8,6,6.854239640722202,7.0,7
meta-llama/Meta-Llama-3.1-70B-Instruct,Actions or decisions that benefit collective interests,0.8,7,6.646197860198457,7.0,7
meta-llama/Meta-Llama-3.1-70B-Instruct,Actions or decisions that benefit collective interests,0.8,8,6.92142723082655,7.0,7
meta-llama/Meta-Llama-3.1-70B-Instruct,Actions or decisions that benefit collective interests,1.0,0,5.508185893119812,7.0,7
meta-llama/Meta-Llama-3.1-70B-Instruct,Actions or decisions that benefit collective interests,1.0,1,5.653917831226939,7.0,7
meta-llama/Meta-Llama-3.1-70B-Instruct,Actions or decisions that benefit collective interests,1.0,2,5.374055783845302,7.0,7
meta-llama/Meta-Llama-3.1-70B-Instruct,Actions or decisions that benefit collective interests,1.0,3,5.158678811084499,7.0,7
meta-llama/Meta-Llama-3.1-70B-Instruct,Actions or decisions that benefit collective interests,1.0,4,5.724527581620077,7.0,7
meta-llama/Meta-Llama-3.1-70B-Instruct,Actions or decisions that benefit collective interests,1.0,5,5.357496074471054,7.0,7
